[run] loading refdrone 'val' subset (n=all)...
[run] 439 samples; building jetson backend (/home/jfdg/grounding/phase3-terse100eos-1024-q8_0.gguf) max_side=1024...
[run] evaluating...
  [jetson] 125/439  parsed=125  gate_hits=87
  [jetson] 126/439  parsed=126  gate_hits=88
  [jetson] 127/439  parsed=127  gate_hits=88
  [jetson] 128/439  parsed=128  gate_hits=88
  [jetson] 129/439  parsed=129  gate_hits=89
  [jetson] 130/439  parsed=130  gate_hits=90
  [jetson] 131/439  parsed=131  gate_hits=91
  [jetson] 132/439  parsed=132  gate_hits=92
  [jetson] 133/439  parsed=133  gate_hits=92
  [jetson] 134/439  parsed=134  gate_hits=93
  [jetson] 135/439  parsed=135  gate_hits=94
  [jetson] 136/439  parsed=136  gate_hits=95
  [jetson] 137/439  parsed=137  gate_hits=95
  [jetson] 138/439  parsed=138  gate_hits=96
  [jetson] 139/439  parsed=139  gate_hits=96
  [jetson] 140/439  parsed=140  gate_hits=96
  [jetson] 141/439  parsed=141  gate_hits=97
  [jetson] 142/439  parsed=142  gate_hits=97
  [jetson] 143/439  parsed=143  gate_hits=97
  [jetson] 144/439  parsed=144  gate_hits=98
  [jetson] 145/439  parsed=145  gate_hits=98
  [jetson] 146/439  parsed=146  gate_hits=98
  [jetson] 147/439  parsed=147  gate_hits=99
  [jetson] 148/439  parsed=148  gate_hits=99
  [jetson] 149/439  parsed=149  gate_hits=99
  [jetson] 150/439  parsed=150  gate_hits=100
  [jetson] 151/439  parsed=151  gate_hits=100
  [jetson] 152/439  parsed=152  gate_hits=100
  [jetson] 153/439  parsed=153  gate_hits=101
  [jetson] 154/439  parsed=154  gate_hits=102
  [jetson] 155/439  parsed=155  gate_hits=103
  [jetson] 156/439  parsed=156  gate_hits=103
  [jetson] 157/439  parsed=157  gate_hits=104
  [jetson] 158/439  parsed=158  gate_hits=105
  [jetson] 159/439  parsed=159  gate_hits=105
  [jetson] 160/439  parsed=160  gate_hits=106
  [jetson] 161/439  parsed=161  gate_hits=107
  [jetson] 162/439  parsed=162  gate_hits=108
  [jetson] 163/439  parsed=163  gate_hits=109
  [jetson] 164/439  parsed=164  gate_hits=109
  [jetson] 165/439  parsed=165  gate_hits=110
  [jetson] 166/439  parsed=166  gate_hits=111
  [jetson] 167/439  parsed=167  gate_hits=112
  [jetson] 168/439  parsed=168  gate_hits=113
  [jetson] 169/439  parsed=169  gate_hits=114
  [jetson] 170/439  parsed=170  gate_hits=115
  [jetson] 171/439  parsed=171  gate_hits=115
  [jetson] 172/439  parsed=172  gate_hits=116
  [jetson] 173/439  parsed=173  gate_hits=116
  [jetson] 174/439  parsed=174  gate_hits=117
  [jetson] 175/439  parsed=175  gate_hits=118
  [jetson] 176/439  parsed=176  gate_hits=119
  [jetson] 177/439  parsed=177  gate_hits=119
  [jetson] 178/439  parsed=178  gate_hits=119
  [jetson] 179/439  parsed=179  gate_hits=120
  [jetson] 180/439  parsed=180  gate_hits=121
  [jetson] 181/439  parsed=181  gate_hits=122
  [jetson] 182/439  parsed=182  gate_hits=123
  [jetson] 183/439  parsed=183  gate_hits=124
  [jetson] 184/439  parsed=184  gate_hits=124
  [jetson] 185/439  parsed=185  gate_hits=125
  [jetson] 186/439  parsed=186  gate_hits=125
  [jetson] 187/439  parsed=187  gate_hits=126
  [jetson] 188/439  parsed=188  gate_hits=126
  [jetson] 189/439  parsed=189  gate_hits=127
  [jetson] 190/439  parsed=190  gate_hits=127
  [jetson] 191/439  parsed=191  gate_hits=128
  [jetson] 192/439  parsed=192  gate_hits=129
  [jetson] 193/439  parsed=193  gate_hits=130
  [jetson] 194/439  parsed=194  gate_hits=130
  [jetson] 195/439  parsed=195  gate_hits=131
  [jetson] 196/439  parsed=196  gate_hits=132
  [jetson] 197/439  parsed=197  gate_hits=133
  [jetson] 198/439  parsed=198  gate_hits=133
  [jetson] 199/439  parsed=199  gate_hits=134
  [jetson] 200/439  parsed=200  gate_hits=135
  [jetson] 201/439  parsed=201  gate_hits=135
  [jetson] 202/439  parsed=202  gate_hits=136
  [jetson] 203/439  parsed=203  gate_hits=137
  [jetson] 204/439  parsed=204  gate_hits=138
  [jetson] 205/439  parsed=205  gate_hits=139
  [jetson] 206/439  parsed=206  gate_hits=139
  [jetson] 207/439  parsed=207  gate_hits=140
  [jetson] 208/439  parsed=208  gate_hits=141
  [jetson] 209/439  parsed=209  gate_hits=141
  [jetson] 210/439  parsed=210  gate_hits=141
  [jetson] 211/439  parsed=211  gate_hits=141
  [jetson] 212/439  parsed=212  gate_hits=141
  [jetson] 213/439  parsed=213  gate_hits=141
  [jetson] 214/439  parsed=214  gate_hits=142
  [jetson] 215/439  parsed=215  gate_hits=142
  [jetson] 216/439  parsed=216  gate_hits=142
  [jetson] 217/439  parsed=217  gate_hits=143
  [jetson] 218/439  parsed=218  gate_hits=144
  [jetson] 219/439  parsed=219  gate_hits=145
  [jetson] 220/439  parsed=220  gate_hits=146
  [jetson] 221/439  parsed=221  gate_hits=147
  [jetson] 222/439  parsed=222  gate_hits=148
  [jetson] 223/439  parsed=223  gate_hits=148
  [jetson] 224/439  parsed=224  gate_hits=148
  [jetson] 225/439  parsed=225  gate_hits=148
  [jetson] 226/439  parsed=226  gate_hits=149
  [jetson] 227/439  parsed=227  gate_hits=149
  [jetson] 228/439  parsed=228  gate_hits=149
  [jetson] 229/439  parsed=229  gate_hits=150
  [jetson] 230/439  parsed=230  gate_hits=151
  [jetson] 231/439  parsed=231  gate_hits=152
  [jetson] 232/439  parsed=232  gate_hits=152
  [jetson] 233/439  parsed=233  gate_hits=153
  [jetson] 234/439  parsed=234  gate_hits=153
  [jetson] 235/439  parsed=235  gate_hits=153
  [jetson] 236/439  parsed=236  gate_hits=154
  [jetson] 237/439  parsed=237  gate_hits=155
  [jetson] 238/439  parsed=238  gate_hits=156
  [jetson] 239/439  parsed=239  gate_hits=157
