[warm] bridge up: ssh+py 0.30s, import 2.77s, weights 1.80s
[clip09 WARM lag4.85 j12] t_handoff=0.5071 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1169, 'drain': 0.3902}
[clip09 WARM lag4.85 j999] t_handoff=0.3147 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.122, 'drain': 0.1927}
[clip10 WARM lag4.85 j1] t_handoff=5.3113 steps=149/38 iou=0.6256 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1171, 'drain': 5.1941}
[clip10 WARM lag4.85 j12] t_handoff=0.5078 steps=103/62 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1184, 'drain': 0.3894}
[clip10 WARM lag4.85 j999] t_handoff=0.3156 steps=101/63 iou=0.2943 on_target=0.1746 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1241, 'drain': 0.1915}
[clip11 WARM lag4.85 j1] t_handoff=5.1837 steps=148/70 iou=0.7565 on_target=0.9714 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1137, 'drain': 5.07}
[clip11 WARM lag4.85 j12] t_handoff=0.5165 steps=103/93 iou=0.7657 on_target=0.9785 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1281, 'drain': 0.3884}
[clip11 WARM lag4.85 j999] t_handoff=0.3089 steps=101/94 iou=0.7664 on_target=0.9787 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.119, 'drain': 0.1899}
[clip12 WARM lag4.85 j1] t_handoff=5.1614 steps=148/100 iou=0.7657 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1236, 'drain': 5.0378}
[clip12 WARM lag4.85 j12] t_handoff=0.5065 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1207, 'drain': 0.3857}
[clip12 WARM lag4.85 j999] t_handoff=0.3186 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1283, 'drain': 0.1903}
[clip13 WARM lag4.85 j1] t_handoff=5.3106 steps=149/100 iou=0.3234 on_target=0.5 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1221, 'drain': 5.1885}
[clip13 WARM lag4.85 j12] t_handoff=0.5056 steps=103/100 iou=0.5688 on_target=0.74 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1155, 'drain': 0.3901}
[clip13 WARM lag4.85 j999] t_handoff=0.3107 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1159, 'drain': 0.1948}
[clip14 WARM lag4.85 j1] t_handoff=5.3629 steps=149/100 iou=0.3335 on_target=0.55 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1326, 'drain': 5.2303}
