[clip14 COLD lag0 j12] t_handoff=6.331 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3134, 'import': 2.928, 'weights': 1.9, 'warmup_init': 0.7103, 'drain': 0.4791}
[clip14 COLD lag4.85 j12] t_handoff=6.3957 steps=104/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3074, 'import': 2.9583, 'weights': 1.9, 'warmup_init': 0.6694, 'drain': 0.5606}
[clip15 COLD lag0 j12] t_handoff=6.1777 steps=102/100 iou=0.7001 on_target=1.0 stages={'ssh_spawn': 0.3173, 'import': 2.918, 'weights': 1.9, 'warmup_init': 0.6858, 'drain': 0.3565}
[clip15 COLD lag4.85 j12] t_handoff=6.187 steps=104/100 iou=0.667 on_target=1.0 stages={'ssh_spawn': 0.292, 'import': 2.8682, 'weights': 1.8, 'warmup_init': 0.665, 'drain': 0.5617}
[clip16 COLD lag0 j12] t_handoff=6.5702 steps=103/34 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3103, 'import': 3.2111, 'weights': 1.9, 'warmup_init': 0.6931, 'drain': 0.4555}
[clip16 COLD lag4.85 j12] t_handoff=6.1663 steps=104/12 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.2919, 'import': 2.8391, 'weights': 1.8, 'warmup_init': 0.6724, 'drain': 0.5628}
[clip17 COLD lag0 j12] t_handoff=6.1991 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3122, 'import': 2.9666, 'weights': 1.8, 'warmup_init': 0.6639, 'drain': 0.4562}
[clip17 COLD lag4.85 j12] t_handoff=6.1474 steps=104/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.2862, 'import': 2.834, 'weights': 1.8, 'warmup_init': 0.6684, 'drain': 0.5586}
[clip18 COLD lag0 j12] t_handoff=5.9891 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.2881, 'import': 2.7812, 'weights': 1.8, 'warmup_init': 0.6673, 'drain': 0.4525}
[clip18 COLD lag4.85 j12] t_handoff=6.3081 steps=104/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3068, 'import': 2.8412, 'weights': 1.9, 'warmup_init': 0.7034, 'drain': 0.5567}
[clip19 COLD lag0 j12] t_handoff=6.169 steps=102/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3191, 'import': 3.0067, 'weights': 1.8, 'warmup_init': 0.6866, 'drain': 0.3565}
[clip19 COLD lag4.85 j12] t_handoff=6.3456 steps=105/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.3107, 'import': 2.9009, 'weights': 1.8, 'warmup_init': 0.6715, 'drain': 0.6625}
[clip20 COLD lag0 j12] t_handoff=6.3346 steps=103/100 iou=0.6548 on_target=1.0 stages={'ssh_spawn': 0.3016, 'import': 3.0003, 'weights': 1.9, 'warmup_init': 0.6768, 'drain': 0.4557}
[clip20 COLD lag4.85 j12] t_handoff=6.1621 steps=104/100 iou=0.6548 on_target=1.0 stages={'ssh_spawn': 0.2887, 'import': 2.8559, 'weights': 1.8, 'warmup_init': 0.6627, 'drain': 0.5546}
[clip21 COLD lag0 j12] t_handoff=5.9446 steps=102/100 iou=0.7833 on_target=1.0 stages={'ssh_spawn': 0.2855, 'import': 2.8397, 'weights': 1.8, 'warmup_init': 0.6653, 'drain': 0.354}
[clip21 COLD lag4.85 j12] t_handoff=6.7324 steps=104/100 iou=0.7881 on_target=1.0 stages={'ssh_spawn': 0.3268, 'import': 3.1011, 'weights': 2.0, 'warmup_init': 0.7374, 'drain': 0.567}
[clip22 COLD lag0 j12] t_handoff=5.9851 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.2918, 'import': 2.7797, 'weights': 1.8, 'warmup_init': 0.6602, 'drain': 0.4533}
[clip22 COLD lag4.85 j12] t_handoff=6.1055 steps=104/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.2894, 'import': 2.7958, 'weights': 1.8, 'warmup_init': 0.6602, 'drain': 0.5601}
[clip23 COLD lag0 j12] t_handoff=6.507 steps=103/100 iou=0.7602 on_target=0.99 stages={'ssh_spawn': 0.3136, 'import': 3.1339, 'weights': 1.9, 'warmup_init': 0.7001, 'drain': 0.4593}
[clip23 COLD lag4.85 j12] t_handoff=6.3735 steps=105/100 iou=0.6822 on_target=0.71 stages={'ssh_spawn': 0.3237, 'import': 2.8934, 'weights': 1.8, 'warmup_init': 0.6931, 'drain': 0.6633}
