t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,oracle_cx,oracle_cy,oracle_w,oracle_h,det_bbox_cx,det_bbox_cy,det_new,track_cx,track_cy,track_w,track_h,track_id,pix_err_vs_oracle,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.01,-0.01,-8.68,0.51,-0.01,0.00,320.0,208.1,127.6,255.3,320.0,208.1,1,320.0,208.1,127.6,255.3,1,0.0,0.638,0.000,0.0000,0.0
0.050,0.01,-0.01,-8.68,0.53,-0.01,0.00,320.0,207.3,127.6,255.3,320.0,208.1,0,320.0,208.1,127.6,255.3,1,0.8,0.638,0.000,0.0000,50.1
0.100,0.01,-0.01,-8.80,0.54,-0.01,0.00,324.1,207.1,125.9,251.8,320.0,208.1,0,320.0,208.1,127.6,255.3,1,4.2,0.638,0.000,0.0000,50.1
0.150,0.01,-0.01,-8.80,0.55,-0.01,0.00,324.2,206.4,125.9,251.8,320.0,208.1,0,320.0,208.1,127.6,255.3,1,4.5,0.638,0.000,0.0000,50.0
0.200,0.01,-0.01,-8.92,0.56,-0.01,0.00,324.2,206.0,124.3,248.7,320.0,208.1,0,320.0,208.1,127.6,255.3,1,4.7,0.638,0.000,0.0000,50.1
0.250,0.01,-0.01,-8.92,0.58,-0.01,0.00,324.3,205.2,124.3,248.7,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.1,0.638,0.000,0.0000,50.1
0.300,0.02,-0.01,-9.02,0.59,-0.01,0.00,324.2,205.1,122.9,245.8,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.2,0.638,0.000,0.0000,50.1
0.350,0.02,-0.01,-9.02,0.60,-0.01,0.00,324.3,204.3,122.9,245.8,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.7,0.638,0.000,0.0000,50.1
0.401,0.03,-0.01,-9.11,0.61,-0.01,0.00,324.3,204.6,121.7,243.3,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.5,0.638,0.000,0.0000,50.1
0.451,0.03,-0.01,-9.11,0.63,-0.01,0.00,324.4,203.9,121.7,243.3,320.0,208.1,0,320.0,208.1,127.6,255.3,1,6.1,0.638,0.000,0.0000,50.1
0.501,0.05,-0.01,-9.20,0.64,-0.01,0.00,324.4,204.7,120.5,241.1,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.6,0.638,0.000,0.0000,50.1
0.551,0.05,-0.01,-9.20,0.65,-0.01,0.00,324.5,204.0,120.5,241.1,320.0,208.1,0,320.0,208.1,127.6,255.3,1,6.1,0.638,0.000,0.0000,50.1
0.601,0.08,-0.02,-9.27,0.66,-0.01,0.00,324.5,205.2,119.6,239.2,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.4,0.638,0.000,0.0000,50.1
0.651,0.08,-0.02,-9.27,0.68,-0.01,0.00,324.6,204.5,119.6,239.2,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.9,0.638,0.000,0.0000,50.1
0.701,0.11,-0.02,-9.33,0.69,-0.01,0.00,324.6,206.1,118.8,237.5,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.0,0.638,0.000,0.0000,50.1
0.751,0.11,-0.02,-9.33,0.70,-0.01,0.00,324.7,205.3,118.8,237.5,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.5,0.638,0.000,0.0000,50.1
0.801,0.15,-0.02,-9.39,0.71,-0.01,0.00,324.8,207.2,118.1,236.2,320.0,208.1,0,320.0,208.1,127.6,255.3,1,4.8,0.638,0.000,0.0000,50.1
0.851,0.15,-0.02,-9.39,0.73,-0.01,0.00,324.9,206.5,118.1,236.2,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.1,0.638,0.000,0.0000,50.1
0.901,0.20,-0.03,-9.43,0.74,-0.01,0.00,324.9,208.6,117.6,235.1,320.0,208.1,0,320.0,208.1,127.6,255.3,1,4.9,0.638,0.000,0.0000,50.1
0.951,0.20,-0.03,-9.43,0.75,-0.01,0.00,325.0,207.8,117.6,235.1,320.0,208.1,0,320.0,208.1,127.6,255.3,1,5.0,0.638,0.000,0.0000,50.0
1.001,0.25,-0.04,-9.46,0.76,-0.01,0.00,325.0,210.1,117.2,234.3,325.1,207.1,1,325.1,207.1,117.6,235.1,2,3.0,0.657,0.102,0.0000,50.0
1.051,0.25,-0.04,-9.46,0.78,-0.01,0.00,325.1,209.4,117.2,234.3,325.1,207.1,0,320.0,208.1,127.6,255.3,1,5.3,0.638,0.000,0.0000,50.1
1.101,0.30,-0.04,-9.48,0.79,-0.01,0.00,325.2,211.8,116.9,233.8,325.1,207.1,0,320.0,208.1,127.6,255.3,1,6.4,0.638,0.000,0.0000,50.1
1.151,0.30,-0.04,-9.48,0.80,-0.01,0.00,325.3,211.1,116.9,233.8,325.1,207.1,0,320.0,208.1,127.6,255.3,1,6.0,0.638,0.000,0.0000,50.1
1.201,0.35,-0.05,-9.49,0.81,-0.01,0.00,325.3,213.6,116.8,233.5,325.1,207.1,0,320.0,208.1,127.6,255.3,1,7.6,0.638,0.000,0.0000,50.1
1.251,0.35,-0.05,-9.49,0.83,-0.01,0.00,325.4,212.8,116.8,233.5,325.1,207.1,0,320.0,208.1,127.6,255.3,1,7.2,0.638,0.000,0.0000,50.1
1.302,0.41,-0.05,-9.50,0.84,-0.01,0.00,325.4,215.5,116.7,233.4,325.1,207.1,0,320.0,208.1,127.6,255.3,1,9.2,0.638,0.000,0.0000,50.1
1.352,0.41,-0.05,-9.50,0.85,-0.01,0.00,325.5,214.7,116.7,233.4,325.1,207.1,0,320.0,208.1,127.6,255.3,1,8.6,0.638,0.000,0.0000,50.1
1.402,0.47,-0.06,-9.50,0.86,-0.01,0.00,325.5,217.5,116.7,233.5,325.1,207.1,0,320.0,208.1,127.6,255.3,1,10.9,0.638,0.000,0.0000,50.1
1.452,0.47,-0.06,-9.50,0.88,-0.01,0.00,325.6,216.7,116.7,233.5,325.1,207.1,0,320.0,208.1,127.6,255.3,1,10.3,0.638,0.000,0.0000,50.1
1.502,0.53,-0.07,-9.49,0.89,-0.01,0.00,325.7,219.6,116.8,233.6,325.1,207.1,0,320.0,208.1,127.6,255.3,1,12.8,0.638,0.000,0.0000,50.1
1.552,0.53,-0.07,-9.49,0.90,-0.01,0.00,325.8,218.8,116.8,233.6,325.1,207.1,0,325.1,207.1,117.6,235.1,2,11.7,0.657,0.102,0.0000,50.1
1.602,0.59,-0.07,-9.48,0.91,-0.01,0.00,325.8,221.7,116.9,233.8,325.1,207.1,0,325.1,207.1,117.6,235.1,2,14.6,0.657,0.102,0.0000,50.1
1.652,0.59,-0.07,-9.48,0.93,-0.01,0.00,325.9,221.0,116.9,233.8,325.1,207.1,0,325.1,207.1,117.6,235.1,2,13.9,0.657,0.102,0.0000,50.3
1.702,0.65,-0.08,-9.48,0.94,-0.01,0.00,325.9,223.9,117.0,233.9,325.1,207.1,0,325.1,207.1,117.6,235.1,2,16.8,0.657,0.102,0.0000,50.1
1.752,0.65,-0.08,-9.48,0.95,-0.01,0.00,326.0,223.2,117.0,233.9,325.1,207.1,0,325.1,207.1,117.6,235.1,2,16.1,0.657,0.102,0.0000,50.1
1.802,0.72,-0.09,-9.47,0.96,-0.01,0.00,326.0,226.2,117.1,234.1,325.1,207.1,0,325.1,207.1,117.6,235.1,2,19.0,0.657,0.102,0.0000,50.1
1.852,0.72,-0.09,-9.47,0.98,-0.01,0.00,326.1,225.4,117.1,234.1,325.1,207.1,0,325.1,207.1,117.6,235.1,2,18.3,0.657,0.102,0.0000,50.1
1.902,0.78,-0.09,-9.46,0.99,-0.01,0.00,326.0,228.5,117.1,234.3,325.1,207.1,0,325.1,207.1,117.6,235.1,2,21.4,0.657,0.102,0.0000,50.1
1.953,0.78,-0.09,-9.46,1.00,-0.01,0.00,326.1,227.7,117.1,234.3,325.1,207.1,0,325.1,207.1,117.6,235.1,2,20.6,0.657,0.102,0.0000,50.1
2.003,0.85,-0.10,-9.46,1.01,-0.01,0.00,325.9,230.8,117.2,234.4,326.2,227.1,1,326.2,227.1,117.1,234.3,3,3.8,0.259,0.123,0.0000,50.1
2.053,0.85,-0.10,-9.46,1.03,-0.01,0.00,326.0,230.1,117.2,234.4,326.2,227.1,0,325.1,207.1,117.6,235.1,2,23.0,0.657,0.102,0.0000,50.1
2.103,0.91,-0.10,-9.45,1.04,-0.01,0.00,325.8,233.2,117.3,234.6,326.2,227.1,0,325.1,207.1,117.6,235.1,2,26.1,0.657,0.102,0.0000,50.1
2.153,0.91,-0.10,-9.45,1.05,-0.01,0.00,325.9,232.5,117.3,234.6,326.2,227.1,0,325.1,207.1,117.6,235.1,2,25.4,0.657,0.102,0.0000,50.5
2.203,0.98,-0.10,-9.45,1.06,-0.01,0.00,325.6,235.7,117.3,234.7,326.2,227.1,0,325.1,207.1,117.6,235.1,2,28.5,0.657,0.102,0.0000,50.1
2.253,0.98,-0.10,-9.45,1.08,-0.01,0.00,325.7,234.9,117.3,234.7,326.2,227.1,0,325.1,207.1,117.6,235.1,2,27.8,0.657,0.102,0.0000,50.1
2.303,1.05,-0.10,-9.45,1.09,-0.01,0.00,325.3,238.1,117.4,234.7,326.2,227.1,0,325.1,207.1,117.6,235.1,2,30.9,0.657,0.102,0.0000,50.1
2.353,1.05,-0.10,-9.45,1.10,-0.01,0.00,325.4,237.3,117.4,234.7,326.2,227.1,0,325.1,207.1,117.6,235.1,2,30.2,0.657,0.102,0.0000,50.1
2.404,1.11,-0.10,-9.44,1.11,-0.01,0.00,325.0,240.5,117.4,234.8,326.2,227.1,0,325.1,207.1,117.6,235.1,2,33.3,0.657,0.102,0.0000,50.1
2.454,1.11,-0.10,-9.44,1.13,-0.01,0.00,325.1,239.7,117.4,234.8,326.2,227.1,0,325.1,207.1,117.6,235.1,2,32.6,0.657,0.102,0.0000,50.1
2.504,1.18,-0.10,-9.44,1.14,-0.01,0.00,324.7,242.9,117.4,234.8,326.2,227.1,0,325.1,207.1,117.6,235.1,2,35.8,0.657,0.102,0.0000,50.1
2.554,1.18,-0.10,-9.44,1.15,-0.01,0.00,324.8,242.2,117.4,234.8,326.2,227.1,0,326.2,227.1,117.1,234.3,3,15.2,0.259,0.123,0.0000,50.1
2.604,1.25,-0.10,-9.44,1.16,-0.01,0.00,324.4,245.4,117.4,234.8,326.2,227.1,0,326.2,227.1,117.1,234.3,3,18.4,0.259,0.123,0.0000,50.1
2.654,1.25,-0.10,-9.44,1.18,-0.01,0.00,324.5,244.6,117.4,234.8,326.2,227.1,0,326.2,227.1,117.1,234.3,3,17.7,0.259,0.123,0.0000,50.1
2.704,1.31,-0.10,-9.44,1.19,-0.01,0.00,324.0,247.8,117.4,234.7,326.2,227.1,0,326.2,227.1,117.1,234.3,3,20.9,0.259,0.123,0.0000,50.1
2.754,1.31,-0.10,-9.44,1.20,-0.01,0.00,324.1,247.1,117.4,234.7,326.2,227.1,0,326.2,227.1,117.1,234.3,3,20.1,0.259,0.123,0.0000,50.1
2.804,1.38,-0.10,-9.45,1.21,-0.01,0.00,323.7,250.1,117.3,234.7,326.2,227.1,0,326.2,227.1,117.1,234.3,3,23.2,0.259,0.123,0.0000,50.2
2.854,1.38,-0.10,-9.45,1.23,-0.01,0.00,323.8,249.4,117.3,234.7,326.2,227.1,0,326.2,227.1,117.1,234.3,3,22.5,0.259,0.123,0.0000,50.1
2.904,1.44,-0.10,-9.45,1.24,-0.01,0.00,323.3,252.2,117.3,234.7,326.2,227.1,0,326.2,227.1,117.1,234.3,3,25.3,0.259,0.123,0.0000,50.1
2.954,1.44,-0.10,-9.45,1.25,-0.01,0.00,323.4,251.4,117.3,234.7,326.2,227.1,0,326.2,227.1,117.1,234.3,3,24.5,0.259,0.123,0.0000,50.1
3.004,1.49,-0.09,-9.45,1.27,-0.01,0.00,322.9,253.9,117.3,234.6,323.5,250.8,1,323.5,250.8,117.3,234.7,4,3.2,-0.215,0.069,0.0000,50.1
3.054,1.49,-0.09,-9.45,1.28,-0.01,0.00,323.0,253.1,117.3,234.6,323.5,250.8,0,326.2,227.1,117.1,234.3,3,26.3,0.259,0.123,0.0000,50.1
3.105,1.54,-0.09,-9.45,1.29,-0.01,0.00,322.4,255.2,117.3,234.5,323.5,250.8,0,326.2,227.1,117.1,234.3,3,28.4,0.259,0.123,0.0000,50.1
3.155,1.54,-0.09,-9.45,1.30,-0.01,0.00,322.5,254.5,117.3,234.5,323.5,250.8,0,326.2,227.1,117.1,234.3,3,27.7,0.259,0.123,0.0000,50.1
3.205,1.59,-0.08,-9.45,1.32,-0.01,0.00,322.0,256.3,117.2,234.5,323.5,250.8,0,326.2,227.1,117.1,234.3,3,29.6,0.259,0.123,0.0000,50.1
3.255,1.59,-0.08,-9.45,1.33,-0.01,0.00,322.1,255.6,117.2,234.5,323.5,250.8,0,326.2,227.1,117.1,234.3,3,28.8,0.259,0.123,0.0000,50.1
3.305,1.63,-0.08,-9.46,1.34,-0.01,0.00,321.6,257.2,117.2,234.4,323.5,250.8,0,326.2,227.1,117.1,234.3,3,30.5,0.259,0.123,0.0000,50.1
3.355,1.63,-0.08,-9.46,1.35,-0.01,0.00,321.6,256.4,117.2,234.4,323.5,250.8,0,326.2,227.1,117.1,234.3,3,29.7,0.259,0.123,0.0000,50.1
3.405,1.67,-0.07,-9.46,1.37,-0.01,0.00,321.1,257.9,117.2,234.4,323.5,250.8,0,326.2,227.1,117.1,234.3,3,31.2,0.259,0.123,0.0000,50.1
3.455,1.67,-0.07,-9.46,1.38,-0.01,0.00,321.2,257.1,117.2,234.4,323.5,250.8,0,326.2,227.1,117.1,234.3,3,30.5,0.259,0.123,0.0000,50.1
3.505,1.70,-0.07,-9.46,1.39,-0.01,0.00,320.7,258.4,117.2,234.3,323.5,250.8,0,326.2,227.1,117.1,234.3,3,31.8,0.259,0.123,0.0000,50.1
3.555,1.70,-0.07,-9.46,1.40,-0.01,0.00,320.8,257.7,117.2,234.3,323.5,250.8,0,323.5,250.8,117.3,234.7,4,7.4,-0.215,0.069,0.0000,50.1
3.605,1.73,-0.06,-9.46,1.42,-0.01,0.00,320.3,258.9,117.1,234.3,323.5,250.8,0,323.5,250.8,117.3,234.7,4,8.8,-0.215,0.069,0.0000,50.1
3.655,1.73,-0.06,-9.46,1.43,-0.01,0.00,320.3,258.2,117.1,234.3,323.5,250.8,0,323.5,250.8,117.3,234.7,4,8.0,-0.215,0.069,0.0000,50.1
3.705,1.77,-0.05,-9.46,1.44,-0.01,0.00,319.8,259.3,117.1,234.2,323.5,250.8,0,323.5,250.8,117.3,234.7,4,9.3,-0.215,0.069,0.0000,50.1
