seq,tid,n_frames,n_labeled,mean_iou,iou_at_25,iou_at_50,id_consistency,pred_absent_frac,n_gaps,n_recovered,wall_s,fps
M0203,51,300,269,0.8101078165619662,1.0,1.0,1.0,0.0,1,1,10.0,30.0
M0203,35,300,300,0.8183758365648643,1.0,1.0,1.0,0.0,0,0,9.76,30.75
M0205,20,300,300,0.8059882275209245,1.0,1.0,1.0,0.0,0,0,9.7,30.93
M0205,6,300,261,0.8343447962321321,0.9923371647509579,0.9923371647509579,0.9923371647509579,0.0,1,1,9.77,30.69
M0209,46,300,300,0.8501569263324555,1.0,1.0,1.0,0.0,0,0,9.9,30.31
M0209,20,300,300,0.7484843436209183,1.0,1.0,1.0,0.0,0,0,9.82,30.54
M0403,3,300,300,0.8144408428589994,1.0,1.0,1.0,0.0,0,0,10.04,29.89
M0403,43,300,286,0.8272175369096008,1.0,1.0,1.0,0.0,1,1,9.54,31.45
M0701,7,300,300,0.6189826299046278,1.0,0.9733333333333334,1.0,0.0,0,0,9.49,31.61
M0701,3,300,300,0.6818631473254343,0.9666666666666667,0.96,1.0,0.0,0,0,9.47,31.67
M0801,7,298,298,0.7459802887513982,0.9496644295302014,0.8993288590604027,1.0,0.0,0,0,9.38,31.78
M0801,22,260,250,0.6979231036132034,0.932,0.884,0.97165991902834,0.0,1,1,8.24,31.57
M1001,55,300,300,0.8021101640589359,0.99,0.99,1.0,0.0,0,0,9.82,30.55
M1001,16,300,300,0.6837913793032834,1.0,0.99,1.0,0.0,0,0,10.12,29.64
M1004,35,269,235,0.2995757877289895,0.42127659574468085,0.19574468085106383,0.7681159420289855,0.0,0,0,8.87,30.32
M1004,36,269,216,0.4277074907510773,0.8055555555555556,0.3472222222222222,1.0,0.0,0,0,8.76,30.71
M1007,8,300,300,0.7213907045114251,1.0,1.0,1.0,0.0,0,0,9.83,30.52
M1007,35,300,300,0.72717238305916,1.0,1.0,1.0,0.0,0,0,9.76,30.73
M1101,13,300,300,0.7204131675110329,1.0,0.8966666666666666,1.0,0.0,0,0,9.89,30.33
M1101,39,300,259,0.8046212548737038,1.0,1.0,1.0,0.0,1,1,10.78,27.83
M1301,15,300,300,0.06265326102477342,0.12,0.03333333333333333,0.18723404255319148,0.01,0,0,14.32,20.96
M1301,98,300,300,0.058829702611473834,0.08333333333333333,0.02666666666666667,0.08666666666666667,0.0,0,0,14.29,20.99
M1302,18,300,300,0.7183754079140527,1.0,0.9933333333333333,1.0,0.0,0,0,13.81,21.73
M1302,19,300,296,0.7416333747632673,1.0,1.0,1.0,0.0,1,1,14.27,21.03
M1401,62,300,300,0.8375217948720093,1.0,1.0,1.0,0.0,0,0,13.44,22.33
M1401,21,300,300,0.6969691479893015,0.9533333333333334,0.87,0.9862068965517241,0.0,0,0,9.81,30.59
uav0000009_03358_v,29,195,186,0.7735008675064895,1.0,1.0,1.0,0.0,0,0,10.0,19.5
uav0000009_03358_v,77,198,177,0.5429727560460336,0.9887005649717514,0.6949152542372882,1.0,0.005649717514124294,1,0,10.03,19.74
uav0000013_00000_v,0,269,269,0.7669592226451296,1.0,1.0,1.0,0.0,0,0,13.59,19.79
uav0000013_00000_v,23,269,216,0.7114449019292126,0.9814814814814815,0.9444444444444444,0.9814814814814815,0.0,1,0,13.49,19.94
uav0000013_01073_v,0,58,58,0.7580476521795159,1.0,1.0,1.0,0.0,0,0,2.89,20.1
uav0000013_01073_v,8,58,58,0.8839444182216151,1.0,1.0,1.0,0.0,0,0,2.9,20.03
uav0000013_01392_v,2,118,118,0.32641562244453026,1.0,0.025423728813559324,1.0,0.0,0,0,5.88,20.07
uav0000013_01392_v,21,118,111,0.4868959783043937,1.0,0.4594594594594595,0.9099099099099099,0.0,1,1,5.87,20.11
uav0000020_00406_v,9,300,300,0.7257118358490919,1.0,0.9533333333333334,0.92,0.0,0,0,14.93,20.09
uav0000020_00406_v,36,300,278,0.6984898189262999,1.0,0.9676258992805755,0.9676258992805755,0.0,1,1,14.92,20.11
uav0000071_03240_v,9,181,181,0.6299387600106607,1.0,0.9392265193370166,0.988950276243094,0.0,0,0,9.09,19.92
uav0000071_03240_v,11,181,181,0.5643342719438784,0.8121546961325967,0.6519337016574586,1.0,0.0,0,0,9.15,19.77
uav0000072_04488_v,1,85,85,0.4204583003583428,0.6588235294117647,0.5058823529411764,0.8840579710144928,0.0,0,0,4.35,19.56
uav0000072_04488_v,0,85,59,0.5629510852937869,1.0,0.5932203389830508,1.0,0.0,1,1,4.38,19.41
uav0000072_05448_v,92,217,217,0.8781589764027858,1.0,1.0,1.0,0.0,0,0,10.89,19.92
uav0000072_05448_v,122,210,210,0.6329583717038426,0.9571428571428572,0.8333333333333334,1.0,0.0,0,0,10.66,19.7
uav0000072_06432_v,22,97,97,0.6582973716875441,0.9484536082474226,0.9484536082474226,0.35051546391752575,0.0,0,0,6.15,15.76
uav0000072_06432_v,117,97,73,0.49469111549357675,0.9452054794520548,0.5342465753424658,0.9863013698630136,0.0,1,1,6.2,15.65
uav0000073_00600_v,2,300,300,0.014057292388313262,0.02,0.013333333333333334,0.12121212121212122,0.7333333333333333,0,0,16.14,18.59
uav0000073_00600_v,48,300,295,0.02764483346100761,0.05084745762711865,0.02711864406779661,1.0,0.23728813559322035,1,0,15.13,19.83
uav0000073_04464_v,0,300,300,0.5999457468312467,1.0,0.7833333333333333,1.0,0.0,0,0,15.07,19.91
uav0000073_04464_v,1,300,300,0.7490602822158532,1.0,0.9666666666666667,1.0,0.0,0,0,15.31,19.59
uav0000076_00720_v,22,259,259,0.708235862539658,0.8918918918918919,0.8918918918918919,0.9631147540983607,0.0,0,0,13.66,18.96
uav0000076_00720_v,54,277,216,0.21431353055343413,0.3287037037037037,0.004629629629629629,1.0,0.037037037037037035,1,0,14.51,19.09
uav0000077_00720_v,46,300,300,0.8342647215305244,1.0,1.0,1.0,0.0,0,0,15.77,19.02
uav0000077_00720_v,43,300,300,0.7614551274532838,0.9966666666666667,0.9933333333333333,1.0,0.0,0,0,15.68,19.13
uav0000079_00480_v,15,300,300,0.44331011056710373,0.9033333333333333,0.34,1.0,0.0,0,0,15.24,19.69
uav0000079_00480_v,10,300,300,0.5653672051987174,0.9466666666666667,0.59,1.0,0.0,0,0,15.03,19.95
uav0000084_00000_v,27,300,300,0.6390233105686378,0.8433333333333334,0.8233333333333334,0.9759450171821306,0.0,0,0,15.43,19.44
uav0000084_00000_v,59,300,257,0.5373399956821644,0.8715953307392996,0.8054474708171206,0.8599221789883269,0.0,1,0,15.74,19.05
uav0000086_00000_v,11,300,300,0.6363889025646462,0.9733333333333334,0.7266666666666667,0.99,0.0,0,0,15.81,18.98
uav0000086_00000_v,55,300,300,0.5322670822503169,0.9966666666666667,0.66,1.0,0.0,0,0,15.66,19.16
uav0000088_00290_v,0,296,296,0.6113575934297156,0.9898648648648649,0.8141891891891891,0.956081081081081,0.0,0,0,15.13,19.57
uav0000088_00290_v,92,296,242,0.3900887970390865,0.5454545454545454,0.5082644628099173,0.6285714285714286,0.11983471074380166,1,0,14.43,20.51
uav0000099_02109_v,9,300,300,0.8287607012400644,1.0,1.0,1.0,0.0,0,0,14.94,20.09
uav0000099_02109_v,4,300,300,0.7005072447552252,1.0,0.9233333333333333,0.9466666666666667,0.0,0,0,14.87,20.18
uav0000117_02622_v,0,300,300,0.0708847542222709,0.13666666666666666,0.02,0.047337278106508875,0.31666666666666665,0,0,14.77,20.32
uav0000117_02622_v,21,156,140,0.6246582425366125,1.0,0.9214285714285714,1.0,0.0,1,1,7.68,20.3
uav0000119_02301_v,0,179,179,0.6087793163862877,1.0,0.7821229050279329,1.0,0.0,0,0,8.86,20.21
uav0000119_02301_v,38,140,113,0.4972414604230144,0.9734513274336283,0.504424778761062,0.9911504424778761,0.0,1,0,7.22,19.38
uav0000120_04775_v,274,300,300,0.0973822695499597,0.13666666666666666,0.07,0.19310344827586207,0.0,0,0,14.67,20.45
uav0000120_04775_v,136,300,254,0.14410070348745163,0.18110236220472442,0.13385826771653545,0.9252336448598131,0.29133858267716534,1,0,15.14,19.82
uav0000124_00944_v,0,300,300,0.6565271857220342,1.0,1.0,0.96,0.0,0,0,16.28,18.43
uav0000124_00944_v,41,300,258,0.0018088059114349047,0.003875968992248062,0.0,1.0,0.0,1,0,16.18,18.55
uav0000126_00001_v,8,300,300,0.3313555527281753,0.8033333333333333,0.05,1.0,0.0033333333333333335,0,0,15.99,18.77
uav0000126_00001_v,62,300,229,0.2692291395439168,0.4672489082969432,0.34934497816593885,0.66875,0.0,2,0,16.01,18.74
uav0000137_00458_v,13,233,233,0.888719561399894,0.9785407725321889,0.9699570815450643,0.9827586206896551,0.0,0,0,12.2,19.1
uav0000137_00458_v,107,233,215,0.012247746954859763,0.018604651162790697,0.013953488372093023,0.023255813953488372,0.0,1,0,12.33,18.9
uav0000138_00000_v,1,213,213,0.8196082843141159,1.0,1.0,1.0,0.0,0,0,11.49,18.54
uav0000138_00000_v,24,213,203,0.47673444349082195,0.6945812807881774,0.6354679802955665,0.7213930348258707,0.0,1,1,11.41,18.67
uav0000140_01590_v,25,256,256,0.2494338299403582,0.421875,0.28515625,0.9197080291970803,0.26171875,0,0,13.74,18.63
uav0000140_01590_v,61,207,196,0.19280512525331528,0.336734693877551,0.2193877551020408,1.0,0.6581632653061225,1,0,11.18,18.51
uav0000143_02250_v,1,261,261,0.8805340547058914,1.0,0.9961685823754789,1.0,0.0,0,0,13.75,18.98
uav0000143_02250_v,93,261,252,0.4577307744424416,0.8055555555555556,0.5317460317460317,0.7773279352226721,0.0,1,1,17.0,15.35
uav0000145_00000_v,15,300,300,0.27664734559592713,0.6133333333333333,0.12,0.6007326007326007,0.03666666666666667,0,0,20.87,14.37
uav0000145_00000_v,17,300,300,0.18338705922352086,0.31,0.043333333333333335,0.4051094890510949,0.0,0,0,17.26,17.38
uav0000150_02310_v,9,300,300,0.0903528007260635,0.13333333333333333,0.10666666666666667,0.11,0.0,0,0,21.34,14.06
uav0000150_02310_v,103,300,298,0.0796809997411249,0.12416107382550336,0.03691275167785235,1.0,0.0,1,0,16.31,18.39
uav0000161_00000_v,0,300,300,0.7192783764275393,1.0,1.0,1.0,0.0,0,0,15.56,19.28
uav0000161_00000_v,211,300,237,0.6246426284559942,1.0,0.8945147679324894,1.0,0.0,1,0,14.89,20.15
uav0000182_00000_v,127,300,300,0.6855789952303514,1.0,1.0,1.0,0.0,0,0,15.15,19.8
uav0000182_00000_v,113,266,217,0.781538174108111,1.0,1.0,1.0,0.0,1,1,13.37,19.9
uav0000188_00000_v,3,260,260,0.6673660533791479,1.0,0.9961538461538462,1.0,0.0,0,0,12.66,20.53
uav0000188_00000_v,68,260,140,0.21886673127139525,0.4928571428571429,0.11428571428571428,0.7397260273972602,0.0,1,0,13.17,19.74
uav0000201_00000_v,1,300,300,0.4717097690421963,0.8966666666666666,0.45666666666666667,0.9454545454545454,0.07666666666666666,0,0,15.51,19.34
uav0000201_00000_v,73,300,226,0.4871062609552762,0.8495575221238938,0.6283185840707964,1.0,0.0,2,0,15.48,19.38
uav0000218_00001_v,14,220,220,0.6500058181314631,1.0,1.0,1.0,0.0,0,0,11.47,19.17
uav0000218_00001_v,13,203,136,0.8237158541166663,0.9926470588235294,0.9779411764705882,1.0,0.0,1,1,10.55,19.23
uav0000222_03150_v,30,300,300,0.6854926385520518,0.9433333333333334,0.9266666666666666,1.0,0.03333333333333333,0,0,16.06,18.68
uav0000222_03150_v,26,300,202,0.7160746141824981,0.8960396039603961,0.8514851485148515,1.0,0.0,1,0,15.93,18.83
uav0000239_03720_v,71,300,300,0.8545552180850666,1.0,1.0,1.0,0.0,0,0,15.57,19.27
uav0000239_03720_v,75,300,69,0.738277792517388,0.927536231884058,0.8405797101449275,0.8970588235294118,0.0,1,0,15.11,19.85
uav0000239_12336_v,72,300,300,0.7859685824054921,1.0,1.0,1.0,0.0,0,0,15.3,19.61
uav0000239_12336_v,87,157,95,0.12332655503886229,0.18947368421052632,0.18947368421052632,0.21951219512195122,0.10526315789473684,1,0,7.97,19.7
uav0000243_00001_v,25,300,300,0.7028862363252784,0.9633333333333334,0.8833333333333333,1.0,0.0,0,0,14.91,20.12
uav0000243_00001_v,158,300,300,0.8041661703549534,0.9933333333333333,0.9866666666666667,1.0,0.0,0,0,15.15,19.81
uav0000244_01440_v,125,300,300,0.7112491980783899,1.0,1.0,1.0,0.0,0,0,15.05,19.94
uav0000244_01440_v,100,300,259,0.71957399572957,1.0,1.0,1.0,0.0,1,0,14.96,20.06
uav0000248_00001_v,2,300,300,0.7691512929161923,1.0,1.0,1.0,0.0,0,0,15.29,19.62
uav0000248_00001_v,91,300,300,0.8342814671397607,1.0,1.0,1.0,0.0,0,0,15.28,19.63
uav0000249_00001_v,145,300,300,0.6323457694161613,0.9966666666666667,0.9,1.0,0.0,0,0,15.1,19.87
uav0000249_00001_v,125,300,294,0.2671840672023835,0.4897959183673469,0.18027210884353742,0.7238805970149254,0.0,1,0,15.26,19.67
uav0000249_02688_v,13,244,244,0.7419634899526174,0.9918032786885246,0.9754098360655737,1.0,0.0,0,0,12.4,19.68
uav0000249_02688_v,14,210,202,0.6782893300850431,1.0,0.9405940594059405,1.0,0.0,1,1,10.66,19.7
uav0000263_03289_v,37,300,300,0.8657766153199543,0.99,0.9866666666666667,0.9966666666666667,0.0,0,0,15.76,19.04
uav0000263_03289_v,17,300,300,0.7150685101344942,1.0,0.9133333333333333,1.0,0.0,0,0,15.76,19.04
uav0000264_02760_v,4,300,300,0.7143811418631959,1.0,0.9733333333333334,1.0,0.0,0,0,16.12,18.62
uav0000264_02760_v,39,300,292,0.02061171676874445,0.0410958904109589,0.0,0.022222222222222223,0.023972602739726026,1,0,16.05,18.69
uav0000266_03598_v,13,300,300,0.8049885180752128,1.0,1.0,1.0,0.0,0,0,15.47,19.39
uav0000266_03598_v,18,300,161,0.026431694622849913,0.031055900621118012,0.012422360248447204,0.8,0.0,1,0,15.48,19.38
uav0000266_04830_v,0,116,116,0.40462156500750834,0.5431034482758621,0.5,1.0,0.0,0,0,6.05,19.19
uav0000266_04830_v,3,116,116,0.6428656225613133,1.0,0.853448275862069,0.7413793103448276,0.0,0,0,6.33,18.32
uav0000268_05773_v,8,300,300,0.598575838367838,1.0,0.9966666666666667,1.0,0.0,0,0,16.23,18.48
uav0000268_05773_v,31,300,149,0.007822728884199472,0.013422818791946308,0.006711409395973154,0.17647058823529413,0.020134228187919462,1,0,16.34,18.36
uav0000270_00001_v,9,300,300,0.6403772051087782,1.0,0.9466666666666667,1.0,0.0,0,0,15.57,19.26
uav0000270_00001_v,35,300,288,0.7589939763589935,1.0,0.9861111111111112,1.0,0.0,1,1,15.52,19.33
uav0000273_00001_v,35,300,300,0.4939779490518247,0.8933333333333333,0.5266666666666666,0.38,0.0,0,0,16.04,18.7
uav0000273_00001_v,18,300,56,0.6626243805151629,1.0,0.8928571428571429,1.0,0.0,1,0,15.81,18.98
uav0000278_00001_v,203,300,300,0.6212699816600291,1.0,0.8733333333333333,1.0,0.0,0,0,15.1,19.87
uav0000278_00001_v,184,300,280,0.7464275548643536,1.0,0.9928571428571429,1.0,0.0,1,1,15.53,19.31
uav0000279_00001_v,22,300,300,0.18486208055028294,0.35333333333333333,0.18333333333333332,0.3411371237458194,0.0,0,0,16.0,18.75
uav0000279_00001_v,167,300,242,0.7107820630596448,0.987603305785124,0.9173553719008265,0.987603305785124,0.0,1,0,15.73,19.07
uav0000281_00460_v,10,300,300,0.71042709244572,1.0,0.9933333333333333,1.0,0.0,0,0,19.19,15.64
uav0000281_00460_v,76,300,223,0.7721196575187753,1.0,0.968609865470852,0.9865470852017937,0.0,1,1,15.52,19.33
uav0000288_00001_v,32,300,300,0.7260249391896113,1.0,1.0,1.0,0.0,0,0,15.18,19.77
uav0000288_00001_v,29,300,300,0.04478718718035777,0.03666666666666667,0.01,0.04482758620689655,0.0,0,0,15.13,19.82
uav0000289_00001_v,25,300,286,0.6321945961683303,0.8391608391608392,0.7657342657342657,0.8391608391608392,0.0,2,1,18.84,15.93
uav0000289_00001_v,61,300,300,0.14147174720485645,0.25,0.01,1.0,0.0,0,0,19.3,15.54
uav0000289_06922_v,73,196,161,0.40142206519804297,0.6956521739130435,0.5838509316770186,1.0,0.30434782608695654,1,0,11.86,16.53
uav0000289_06922_v,40,179,142,0.3589937135391188,0.5,0.4154929577464789,1.0,0.5,1,0,10.72,16.7
uav0000295_02300_v,407,300,300,0.8225566619676165,1.0,1.0,1.0,0.0,0,0,19.66,15.26
uav0000295_02300_v,509,300,288,0.4609936224389387,0.8506944444444444,0.4270833333333333,0.9340277777777778,0.0,1,0,15.9,18.87
uav0000297_00000_v,1,146,146,0.733806581849174,1.0,0.9452054794520548,1.0,0.0,0,0,9.43,15.48
uav0000297_00000_v,189,146,115,0.6840070325032649,0.8695652173913043,0.8347826086956521,0.8695652173913043,0.0,1,0,7.23,20.19
uav0000297_02761_v,33,300,300,0.626292365089001,1.0,0.92,1.0,0.0,0,0,15.17,19.78
uav0000297_02761_v,113,300,216,0.8307621879558309,1.0,0.9953703703703703,1.0,0.0,1,0,15.46,19.4
uav0000300_00000_v,33,300,300,0.5484629146748341,0.9333333333333333,0.7333333333333333,0.4214046822742475,0.0,0,0,16.11,18.62
uav0000300_00000_v,125,300,296,0.5423678410937905,0.8547297297297297,0.6148648648648649,0.8776223776223776,0.033783783783783786,1,0,16.09,18.64
uav0000305_00000_v,21,184,184,0.6361382837799675,0.8967391304347826,0.8641304347826086,1.0,0.0,0,0,9.63,19.11
uav0000305_00000_v,69,184,177,0.7696604331695911,0.9943502824858758,0.9943502824858758,1.0,0.0,1,0,9.6,19.16
uav0000306_00230_v,72,300,300,0.5405288006669715,0.9866666666666667,0.65,1.0,0.0,0,0,15.8,18.99
uav0000306_00230_v,99,300,100,0.6792524556949879,1.0,1.0,1.0,0.0,1,0,15.92,18.84
uav0000307_00000_v,48,300,300,0.6355408059332097,1.0,0.9766666666666667,1.0,0.0,0,0,15.87,18.9
uav0000307_00000_v,4,300,115,0.7380712596802103,1.0,0.991304347826087,1.0,0.0,1,0,15.91,18.86
uav0000308_00000_v,2,230,230,0.013230332736101913,0.02608695652173913,0.013043478260869565,1.0,0.9695652173913043,0,0,12.33,18.65
uav0000308_00000_v,25,230,230,0.8933920195877013,1.0,1.0,1.0,0.0,0,0,12.36,18.61
uav0000308_01380_v,8,185,185,0.6490779045230977,1.0,0.9351351351351351,1.0,0.0,0,0,9.75,18.96
uav0000308_01380_v,32,185,175,0.6255328553873335,0.9714285714285714,0.8457142857142858,0.9942528735632183,0.005714285714285714,1,0,9.76,18.96
uav0000309_00000_v,24,300,300,0.5212628779056996,0.97,0.6233333333333333,0.7609427609427609,0.01,0,0,16.03,18.72
uav0000309_00000_v,191,300,244,0.4760741086029303,0.7418032786885246,0.5450819672131147,1.0,0.0,1,0,15.89,18.88
uav0000315_00000_v,124,300,300,0.6034269240516461,0.9833333333333333,0.8566666666666667,1.0,0.0,0,0,16.26,18.45
uav0000315_00000_v,123,300,245,0.35440590751387907,0.4489795918367347,0.4489795918367347,1.0,0.5428571428571428,1,0,16.2,18.52
uav0000316_01288_v,3,127,127,0.5924815418235669,1.0,0.8661417322834646,0.3779527559055118,0.0,0,0,6.77,18.75
uav0000316_01288_v,4,127,127,0.630807669828077,1.0,0.968503937007874,0.7401574803149606,0.0,0,0,6.76,18.79
uav0000323_01173_v,38,300,300,0.7163963220633902,1.0,1.0,1.0,0.0,0,0,16.19,18.53
uav0000323_01173_v,9,300,272,0.45926574590877195,0.6875,0.5477941176470589,0.45098039215686275,0.0,1,0,16.28,18.43
uav0000326_01035_v,32,300,300,0.8551044033083368,1.0,1.0,1.0,0.0,0,0,16.06,18.67
uav0000326_01035_v,16,300,300,0.49147006943660965,0.97,0.4866666666666667,1.0,0.0,0,0,16.3,18.41
uav0000329_04715_v,11,196,196,0.7921138434183774,0.923469387755102,0.923469387755102,0.9786096256684492,0.0,0,0,10.29,19.05
uav0000329_04715_v,14,196,196,0.8324160899783049,1.0,1.0,1.0,0.0,0,0,10.27,19.08
uav0000339_00001_v,4,275,275,0.7892311615542479,0.9672727272727273,0.9418181818181818,0.9926470588235294,0.0,0,0,14.42,19.07
uav0000339_00001_v,49,275,272,0.599610806699338,0.9963235294117647,0.8566176470588235,1.0,0.0,1,0,14.32,19.21
uav0000342_04692_v,2,277,277,0.860123266497752,0.9350180505415162,0.9314079422382672,0.992619926199262,0.0,0,0,14.4,19.24
uav0000342_04692_v,0,277,210,0.894731350661149,0.9476190476190476,0.9476190476190476,0.9900497512437811,0.0,1,1,13.79,20.09
uav0000352_05980_v,9,196,196,0.8613346530419836,0.9132653061224489,0.9132653061224489,0.9944444444444445,0.0,0,0,12.65,15.5
