07-02-2026 10:45:13 RAM 6128/7607MB (lfb 3x4MB) SWAP 427/3804MB (cached 2MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,55%@1510,0%@1510] GR3D_FREQ 99% cpu@59.718C soc2@58.187C soc0@56.156C gpu@60.468C tj@60.468C soc1@58.187C VDD_IN 11509mW/8277mW VDD_CPU_GPU_CV 4494mW/2713mW VDD_SOC 2369mW/1831mW
07-02-2026 10:45:14 RAM 6130/7607MB (lfb 3x4MB) SWAP 427/3804MB (cached 2MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,51%@1510,0%@1510] GR3D_FREQ 99% cpu@59.718C soc2@58.375C soc0@56.375C gpu@60.625C tj@60.625C soc1@58.187C VDD_IN 11509mW/8467mW VDD_CPU_GPU_CV 4494mW/2818mW VDD_SOC 2369mW/1863mW
07-02-2026 10:45:15 RAM 6132/7607MB (lfb 2x4MB) SWAP 427/3804MB (cached 2MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,51%@1510,0%@1510] GR3D_FREQ 90% cpu@59.843C soc2@58.468C soc0@56.343C gpu@60.625C tj@60.625C soc1@58.312C VDD_IN 11390mW/8630mW VDD_CPU_GPU_CV 4454mW/2909mW VDD_SOC 2329mW/1889mW
07-02-2026 10:45:16 RAM 6136/7607MB (lfb 1x4MB) SWAP 427/3804MB (cached 2MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,55%@1510,0%@1510] GR3D_FREQ 99% cpu@60.125C soc2@58.593C soc0@56.437C gpu@60.75C tj@60.75C soc1@58.437C VDD_IN 11430mW/8777mW VDD_CPU_GPU_CV 4454mW/2990mW VDD_SOC 2369mW/1914mW
07-02-2026 10:45:17 RAM 6138/7607MB (lfb 1x4MB) SWAP 427/3804MB (cached 2MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,53%@1510,0%@1510] GR3D_FREQ 99% cpu@60.187C soc2@58.75C soc0@56.562C gpu@60.75C tj@60.75C soc1@58.593C VDD_IN 11509mW/8914mW VDD_CPU_GPU_CV 4494mW/3065mW VDD_SOC 2369mW/1937mW
07-02-2026 10:45:18 RAM 6140/7607MB (lfb 15x2MB) SWAP 427/3804MB (cached 2MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,51%@1510,0%@1510] GR3D_FREQ 99% cpu@60.25C soc2@58.843C soc0@56.656C gpu@61C tj@61C soc1@58.718C VDD_IN 11509mW/9037mW VDD_CPU_GPU_CV 4494mW/3133mW VDD_SOC 2369mW/1957mW
07-02-2026 10:45:19 RAM 6142/7607MB (lfb 14x2MB) SWAP 427/3804MB (cached 2MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,52%@1510,0%@1510] GR3D_FREQ 92% cpu@60.187C soc2@58.875C soc0@56.812C gpu@61.031C tj@61.031C soc1@58.812C VDD_IN 11430mW/9146mW VDD_CPU_GPU_CV 4415mW/3192mW VDD_SOC 2369mW/1976mW
07-02-2026 10:45:20 RAM 6144/7607MB (lfb 13x2MB) SWAP 427/3804MB (cached 2MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,55%@1510,0%@1510] GR3D_FREQ 99% cpu@60.468C soc2@58.968C soc0@56.968C gpu@61.25C tj@61.25C soc1@58.906C VDD_IN 11470mW/9247mW VDD_CPU_GPU_CV 4494mW/3248mW VDD_SOC 2369mW/1993mW
07-02-2026 10:45:21 RAM 5685/7607MB (lfb 1x4MB) SWAP 420/3804MB (cached 2MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,73%@1510,0%@1510] GR3D_FREQ 0% cpu@60.562C soc2@58.843C soc0@56.875C gpu@60.343C tj@60.562C soc1@58.812C VDD_IN 7725mW/9184mW VDD_CPU_GPU_CV 2250mW/3207mW VDD_SOC 1779mW/1984mW
07-02-2026 10:45:22 RAM 4792/7607MB (lfb 7x4MB) SWAP 349/3804MB (cached 2MB) CPU [44%@1510,0%@1510,0%@1510,0%@1510,64%@1510,0%@1510] GR3D_FREQ 0% cpu@60.187C soc2@58.718C soc0@56.843C gpu@60.093C tj@60.156C soc1@58.781C VDD_IN 6180mW/9063mW VDD_CPU_GPU_CV 1502mW/3139mW VDD_SOC 1505mW/1965mW
