07-02-2026 09:40:46 RAM 2927/7607MB (lfb 105x1MB) SWAP 256/3804MB (cached 1MB) CPU [32%@1510,9%@1510,67%@1510,11%@1510,9%@1510,6%@1510] GR3D_FREQ 0% cpu@57.937C soc2@56.375C soc0@54.562C gpu@57.625C tj@57.937C soc1@56.75C VDD_IN 6417mW/5969mW VDD_CPU_GPU_CV 1542mW/1405mW VDD_SOC 1545mW/1474mW
07-02-2026 09:40:47 RAM 2930/7607MB (lfb 105x1MB) SWAP 256/3804MB (cached 1MB) CPU [93%@1510,9%@1510,9%@1510,10%@1510,5%@1510,5%@1510] GR3D_FREQ 0% cpu@57.968C soc2@56.468C soc0@54.562C gpu@57.625C tj@57.968C soc1@56.812C VDD_IN 6378mW/5999mW VDD_CPU_GPU_CV 1542mW/1415mW VDD_SOC 1545mW/1479mW
07-02-2026 09:40:48 RAM 2933/7607MB (lfb 105x1MB) SWAP 256/3804MB (cached 1MB) CPU [93%@1510,10%@1510,9%@1510,10%@1510,6%@1510,6%@1510] GR3D_FREQ 0% cpu@58.031C soc2@56.531C soc0@54.718C gpu@57.625C tj@58.031C soc1@56.781C VDD_IN 6417mW/6026mW VDD_CPU_GPU_CV 1542mW/1423mW VDD_SOC 1545mW/1484mW
07-02-2026 09:40:49 RAM 2958/7607MB (lfb 105x1MB) SWAP 256/3804MB (cached 1MB) CPU [18%@1510,84%@1510,18%@1510,7%@1510,18%@1510,17%@1510] GR3D_FREQ 17% cpu@58.25C soc2@56.531C soc0@54.593C gpu@57.562C tj@58.25C soc1@56.812C VDD_IN 6932mW/6083mW VDD_CPU_GPU_CV 1700mW/1441mW VDD_SOC 1663mW/1495mW
07-02-2026 09:40:50 RAM 3610/7607MB (lfb 2x4MB) SWAP 256/3804MB (cached 1MB) CPU [14%@1510,40%@1510,0%@1510,19%@1510,19%@1510,0%@1510] GR3D_FREQ 99% cpu@58.343C soc2@56.687C soc0@54.75C gpu@58.5C tj@58.5C soc1@56.937C VDD_IN 8240mW/6210mW VDD_CPU_GPU_CV 2606mW/1509mW VDD_SOC 1858mW/1516mW
07-02-2026 09:40:51 RAM 3683/7607MB (lfb 3x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,2%@1510,0%@1510,2%@1510,31%@1510,0%@1510] GR3D_FREQ 99% cpu@58.375C soc2@57.031C soc0@54.937C gpu@59.093C tj@59.093C soc1@56.968C VDD_IN 11667mW/6513mW VDD_CPU_GPU_CV 4612mW/1682mW VDD_SOC 2369mW/1564mW
07-02-2026 09:40:52 RAM 3688/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,24%@1510,0%@1510] GR3D_FREQ 99% cpu@58.5C soc2@57.156C soc0@55.156C gpu@59.406C tj@59.406C soc1@57.062C VDD_IN 11905mW/6797mW VDD_CPU_GPU_CV 4849mW/1848mW VDD_SOC 2369mW/1606mW
07-02-2026 09:40:53 RAM 3690/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,22%@1510,0%@1510] GR3D_FREQ 84% cpu@58.75C soc2@57.343C soc0@55.25C gpu@59.343C tj@59.343C soc1@57.406C VDD_IN 11865mW/7050mW VDD_CPU_GPU_CV 4928mW/2002mW VDD_SOC 2329mW/1642mW
07-02-2026 09:40:54 RAM 3691/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,19%@1510,0%@1510] GR3D_FREQ 99% cpu@58.75C soc2@57.5C soc0@55.468C gpu@59.875C tj@59.875C soc1@57.343C VDD_IN 12023mW/7287mW VDD_CPU_GPU_CV 5038mW/2147mW VDD_SOC 2369mW/1677mW
07-02-2026 09:40:55 RAM 3693/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,27%@1510,0%@1510] GR3D_FREQ 99% cpu@59.062C soc2@57.687C soc0@55.531C gpu@59.937C tj@59.937C soc1@57.468C VDD_IN 12004mW/7502mW VDD_CPU_GPU_CV 4959mW/2275mW VDD_SOC 2369mW/1708mW
07-02-2026 09:40:56 RAM 3696/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,23%@1510,0%@1510] GR3D_FREQ 99% cpu@59.125C soc2@57.75C soc0@55.593C gpu@59.843C tj@59.843C soc1@57.531C VDD_IN 11826mW/7690mW VDD_CPU_GPU_CV 4888mW/2388mW VDD_SOC 2329mW/1735mW
07-02-2026 09:40:57 RAM 3698/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,20%@1510,0%@1510] GR3D_FREQ 99% cpu@59.25C soc2@57.937C soc0@55.781C gpu@60.25C tj@60.25C soc1@57.718C VDD_IN 12043mW/7871mW VDD_CPU_GPU_CV 5077mW/2500mW VDD_SOC 2329mW/1760mW
