07-02-2026 09:43:39 RAM 6885/7607MB (lfb 5x4MB) SWAP 717/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,21%@1510] GR3D_FREQ 99% cpu@60.125C soc2@58.875C soc0@56.656C gpu@61.187C tj@61.187C soc1@58.625C VDD_IN 12083mW/7792mW VDD_CPU_GPU_CV 5077mW/2446mW VDD_SOC 2369mW/1748mW
07-02-2026 09:43:40 RAM 6889/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,26%@1510] GR3D_FREQ 99% cpu@60.375C soc2@59.031C soc0@56.812C gpu@61.125C tj@61.125C soc1@58.718C VDD_IN 12043mW/8042mW VDD_CPU_GPU_CV 4959mW/2594mW VDD_SOC 2408mW/1787mW
07-02-2026 09:43:41 RAM 6891/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,25%@1510] GR3D_FREQ 99% cpu@60.625C soc2@59.218C soc0@56.937C gpu@61.187C tj@61.187C soc1@58.875C VDD_IN 11865mW/8255mW VDD_CPU_GPU_CV 4888mW/2721mW VDD_SOC 2369mW/1819mW
07-02-2026 09:43:42 RAM 6891/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,17%@1510] GR3D_FREQ 99% cpu@60.562C soc2@59.187C soc0@57C gpu@61.5C tj@61.5C soc1@59.031C VDD_IN 12083mW/8456mW VDD_CPU_GPU_CV 5116mW/2847mW VDD_SOC 2329mW/1846mW
07-02-2026 09:43:43 RAM 6895/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,25%@1510] GR3D_FREQ 99% cpu@60.5C soc2@59.312C soc0@57.125C gpu@61.468C tj@61.468C soc1@59.156C VDD_IN 12004mW/8634mW VDD_CPU_GPU_CV 4880mW/2949mW VDD_SOC 2408mW/1874mW
07-02-2026 09:43:44 RAM 6897/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,28%@1510] GR3D_FREQ 99% cpu@60.718C soc2@59.375C soc0@57.375C gpu@61.562C tj@61.562C soc1@59.031C VDD_IN 11905mW/8789mW VDD_CPU_GPU_CV 4880mW/3041mW VDD_SOC 2369mW/1898mW
07-02-2026 09:43:45 RAM 6897/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,15%@1510] GR3D_FREQ 98% cpu@60.781C soc2@59.562C soc0@57.281C gpu@61.781C tj@61.781C soc1@59.125C VDD_IN 12004mW/8936mW VDD_CPU_GPU_CV 5038mW/3132mW VDD_SOC 2329mW/1917mW
07-02-2026 09:43:46 RAM 6902/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,28%@1510] GR3D_FREQ 99% cpu@60.906C soc2@59.625C soc0@57.406C gpu@61.843C tj@61.843C soc1@59.281C VDD_IN 12043mW/9071mW VDD_CPU_GPU_CV 4959mW/3211mW VDD_SOC 2408mW/1939mW
07-02-2026 09:43:47 RAM 6903/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@1510,23%@1510] GR3D_FREQ 99% cpu@61.093C soc2@59.75C soc0@57.468C gpu@62.031C tj@62.031C soc1@59.406C VDD_IN 12004mW/9193mW VDD_CPU_GPU_CV 4959mW/3284mW VDD_SOC 2369mW/1957mW
07-02-2026 09:43:48 RAM 6905/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,23%@1510] GR3D_FREQ 99% cpu@61.125C soc2@59.875C soc0@57.593C gpu@62.062C tj@62.062C soc1@59.593C VDD_IN 11905mW/9301mW VDD_CPU_GPU_CV 4959mW/3351mW VDD_SOC 2329mW/1972mW
