t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.02,-0.02,-9.97,3.00,0.00,0.00,344.4,94.6,111.0,189.1,1,147.5,2.909,0.489,0.0733,0.0
0.050,0.02,-0.02,-9.97,3.10,0.00,0.00,345.0,92.2,111.0,184.3,1,150.0,2.957,0.501,0.0751,50.1
0.100,0.02,-0.02,-9.97,3.20,0.00,0.00,345.7,89.6,111.0,179.1,1,152.6,3.000,0.514,0.0771,50.1
0.151,0.02,-0.02,-9.97,3.30,0.00,0.00,347.0,85.3,111.2,170.5,1,157.1,3.000,0.539,0.0809,50.4
0.201,0.02,-0.02,-9.97,3.40,0.00,0.00,347.9,82.0,111.3,164.0,1,160.5,3.000,0.557,0.0836,50.1
0.251,0.02,-0.02,-9.97,3.50,0.00,0.00,350.8,72.0,112.3,144.0,1,170.8,3.000,0.616,0.0924,50.1
0.301,0.02,-0.02,-9.97,3.60,0.00,0.00,352.1,67.3,112.6,134.6,1,175.7,3.000,0.642,0.0964,50.1
0.351,0.02,-0.02,-9.97,3.70,0.00,0.00,356.3,52.0,114.7,104.0,1,191.5,3.000,0.726,0.1089,50.1
0.401,0.02,-0.02,-9.97,3.80,0.00,0.00,357.8,46.3,115.2,92.7,1,197.3,3.000,0.756,0.1134,50.1
0.451,0.04,-0.02,-9.97,3.90,0.00,0.00,363.2,27.0,118.5,54.0,1,217.3,3.000,0.863,0.1295,50.1
0.501,0.04,-0.02,-9.97,4.00,0.00,0.00,364.6,21.5,119.1,43.1,1,223.0,3.000,0.891,0.1337,50.1
0.551,0.07,-0.02,-9.97,4.10,0.00,0.00,366.8,13.3,120.2,26.6,1,231.5,3.000,0.936,0.1404,50.1
0.601,0.07,-0.02,-9.97,4.20,0.00,0.00,369.0,5.1,121.3,10.1,1,240.0,3.000,0.981,0.1471,50.1
0.651,0.11,-0.02,-9.97,4.30,0.00,0.00,371.3,-3.2,122.4,1.0,1,248.5,3.000,1.025,0.1538,50.1
0.701,0.11,-0.02,-9.97,4.40,0.00,0.00,373.5,-11.4,123.4,1.0,1,257.1,3.000,1.070,0.1605,50.1
0.751,0.18,-0.01,-9.97,4.50,0.00,0.00,375.7,-19.7,124.5,1.0,1,265.6,3.000,1.115,0.1672,50.1
0.802,0.28,0.00,-9.97,4.60,0.00,0.00,378.0,-27.9,125.6,1.0,1,274.1,3.000,1.159,0.1739,50.3
0.852,0.28,0.00,-9.97,4.70,0.00,0.00,380.2,-36.1,126.7,1.0,1,282.6,3.000,1.204,0.1806,50.1
0.902,0.40,0.02,-9.97,4.80,0.00,0.00,382.4,-44.4,127.7,1.0,1,291.1,3.000,1.249,0.1873,50.1
0.952,0.40,0.02,-9.97,4.90,0.00,0.00,384.7,-52.6,128.8,1.0,1,299.7,3.000,1.294,0.1940,50.1
1.002,0.55,0.05,-9.97,5.00,0.00,0.00,386.9,-60.8,129.9,1.0,1,308.2,3.000,1.338,0.2008,50.1
1.052,0.55,0.05,-9.97,5.10,0.00,0.00,389.2,-69.1,131.0,1.0,1,316.7,3.000,1.383,0.2075,50.1
1.102,0.55,0.05,-9.97,5.20,0.00,0.00,391.4,-77.3,132.0,1.0,1,325.3,3.000,1.428,0.2142,50.1
