t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,0.0
0.084,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,83.7
0.134,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.184,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.234,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.284,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.334,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.384,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.434,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.484,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.534,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.584,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.634,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.685,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.735,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.785,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.835,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.0
0.885,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.935,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
0.985,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.035,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.085,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.135,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.185,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.235,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.285,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.336,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.3
1.386,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.436,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.486,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.536,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.586,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.636,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
1.686,0.00,0.00,-10.00,0.00,0.00,584.13,320.0,240.0,1.9,3.7,1,0.0,-0.000,0.000,0.0000,50.1
