06-13-2026 14:17:12 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.125C soc2@60.906C soc0@58.718C gpu@63.343C tj@63.343C soc1@60.343C VDD_IN 12478mW/10594mW VDD_CPU_GPU_CV 4959mW/3880mW VDD_SOC 2562mW/2264mW
06-13-2026 14:17:12 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.062C soc2@60.906C soc0@58.562C gpu@63.218C tj@63.218C soc1@60.343C VDD_IN 12517mW/10707mW VDD_CPU_GPU_CV 4951mW/3943mW VDD_SOC 2562mW/2282mW
06-13-2026 14:17:13 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@62.031C soc2@60.937C soc0@58.656C gpu@63.093C tj@63.093C soc1@60.312C VDD_IN 12517mW/10808mW VDD_CPU_GPU_CV 4959mW/3999mW VDD_SOC 2562mW/2297mW
06-13-2026 14:17:13 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.093C soc2@61C soc0@58.531C gpu@63.062C tj@63.062C soc1@60.25C VDD_IN 12517mW/10898mW VDD_CPU_GPU_CV 4959mW/4050mW VDD_SOC 2562mW/2311mW
06-13-2026 14:17:14 RAM 3308/7607MB (lfb 32x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.281C soc2@61.062C soc0@58.781C gpu@63.5C tj@63.5C soc1@60.281C VDD_IN 12517mW/10979mW VDD_CPU_GPU_CV 4959mW/4095mW VDD_SOC 2562mW/2324mW
06-13-2026 14:17:14 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.218C soc2@61.093C soc0@58.75C gpu@63.281C tj@63.281C soc1@60.468C VDD_IN 12517mW/11052mW VDD_CPU_GPU_CV 4959mW/4136mW VDD_SOC 2562mW/2335mW
06-13-2026 14:17:15 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.156C soc2@61C soc0@58.718C gpu@63.25C tj@63.5C soc1@60.375C VDD_IN 12478mW/11117mW VDD_CPU_GPU_CV 4959mW/4174mW VDD_SOC 2562mW/2345mW
06-13-2026 14:17:15 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@62.187C soc2@61.156C soc0@58.687C gpu@63.375C tj@63.375C soc1@60.343C VDD_IN 12517mW/11178mW VDD_CPU_GPU_CV 4951mW/4207mW VDD_SOC 2562mW/2355mW
06-13-2026 14:17:16 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.218C soc2@61.25C soc0@58.968C gpu@63.218C tj@63.218C soc1@60.406C VDD_IN 12478mW/11232mW VDD_CPU_GPU_CV 4959mW/4239mW VDD_SOC 2562mW/2363mW
06-13-2026 14:17:16 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.375C soc2@61.218C soc0@58.875C gpu@63.343C tj@63.343C soc1@60.531C VDD_IN 12517mW/11283mW VDD_CPU_GPU_CV 4951mW/4267mW VDD_SOC 2562mW/2371mW
