t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,32.37,-0.03,-9.98,32.88,-0.03,0.00,323.5,212.1,111.1,222.2,1,28.1,0.557,0.070,0.0000,0.0
0.050,32.37,-0.03,-9.98,32.89,-0.03,0.00,323.6,211.5,111.1,222.2,1,28.8,0.569,0.072,0.0000,50.1
0.100,32.37,-0.03,-9.98,32.90,-0.03,0.00,323.7,210.9,111.1,222.2,1,29.5,0.582,0.073,0.0000,50.1
0.150,32.37,-0.03,-9.98,32.92,-0.03,0.00,323.8,210.2,111.1,222.2,1,30.2,0.596,0.075,0.0000,50.1
0.200,32.37,-0.03,-9.98,32.93,-0.03,0.00,323.8,209.5,111.1,222.2,1,30.8,0.610,0.077,0.0000,50.1
0.250,32.37,-0.03,-9.98,32.94,-0.03,0.00,323.9,208.8,111.1,222.2,1,31.5,0.624,0.079,0.0000,50.1
0.300,32.37,-0.03,-9.98,32.95,-0.03,0.00,324.0,208.1,111.1,222.2,1,32.2,0.637,0.080,0.0000,50.1
0.351,32.38,-0.03,-9.98,32.97,-0.03,0.00,324.1,207.6,111.1,222.2,1,32.6,0.647,0.082,0.0000,50.3
0.401,32.39,-0.03,-9.98,32.98,-0.03,0.00,324.1,207.5,111.1,222.2,1,32.5,0.649,0.082,0.0000,50.1
0.451,32.39,-0.03,-9.98,32.99,-0.03,0.00,324.2,207.0,111.1,222.2,1,33.2,0.659,0.084,0.0000,50.1
0.501,32.42,-0.03,-9.98,33.00,-0.03,0.00,324.2,207.3,111.1,222.2,1,32.6,0.655,0.083,0.0000,50.1
0.551,32.42,-0.03,-9.98,33.02,-0.03,0.00,324.2,206.9,111.1,222.2,1,33.3,0.662,0.084,0.0000,50.1
0.601,32.45,-0.03,-9.98,33.03,-0.03,0.00,324.1,207.5,111.1,222.2,1,32.3,0.651,0.083,0.0000,50.1
0.651,32.45,-0.03,-9.98,33.04,-0.03,0.00,324.2,207.2,111.1,222.2,1,33.0,0.656,0.083,0.0000,50.1
0.701,32.49,-0.03,-9.98,33.05,-0.03,0.00,324.1,208.1,111.1,222.2,1,31.6,0.638,0.081,0.0000,50.1
0.751,32.49,-0.03,-9.98,33.07,-0.03,0.00,324.1,208.0,111.1,222.2,1,32.3,0.641,0.081,0.0000,50.1
0.801,32.53,-0.03,-9.98,33.08,-0.03,0.00,323.9,209.1,111.1,222.2,1,30.5,0.618,0.079,0.0000,50.1
0.851,32.53,-0.03,-9.98,33.09,-0.03,0.00,323.9,209.0,111.1,222.2,1,31.2,0.619,0.079,0.0000,50.1
0.901,32.58,-0.03,-9.98,33.10,-0.03,0.00,323.8,210.3,111.1,222.2,1,29.2,0.593,0.075,0.0000,50.1
0.951,32.58,-0.03,-9.98,33.12,-0.03,0.00,323.8,210.4,111.1,222.2,1,29.9,0.592,0.075,0.0000,50.1
1.002,32.63,-0.03,-9.98,33.13,-0.03,0.00,323.6,211.8,111.1,222.2,1,27.7,0.563,0.072,0.0000,50.1
1.052,32.63,-0.03,-9.98,33.14,-0.03,0.00,323.6,211.9,111.1,222.2,1,28.4,0.562,0.072,0.0000,50.1
1.102,32.68,-0.03,-9.98,33.15,-0.03,0.00,323.4,213.5,111.1,222.2,1,26.1,0.531,0.068,0.0000,50.1
1.152,32.68,-0.03,-9.98,33.17,-0.03,0.00,323.4,213.6,111.1,222.2,1,26.8,0.529,0.068,0.0000,50.1
1.202,32.74,-0.03,-9.98,33.18,-0.03,0.00,323.2,215.2,111.1,222.2,1,24.3,0.496,0.064,0.0000,50.1
1.252,32.74,-0.03,-9.98,33.19,-0.03,0.00,323.2,215.4,111.1,222.2,1,25.0,0.493,0.063,0.0000,50.1
1.302,32.74,-0.03,-9.98,33.20,-0.03,0.00,323.2,214.9,111.1,222.2,1,25.7,0.501,0.065,0.0000,50.1
1.352,32.80,-0.03,-9.98,33.22,-0.03,0.00,323.1,216.3,111.1,222.2,1,23.3,0.473,0.061,0.0000,50.1
1.402,32.80,-0.03,-9.98,33.23,-0.03,0.00,323.1,216.4,111.1,222.2,1,24.0,0.472,0.061,0.0000,50.1
1.452,32.85,-0.03,-9.98,33.24,-0.03,0.00,322.9,217.9,111.1,222.2,1,21.7,0.441,0.057,0.0000,50.1
1.502,32.91,-0.03,-9.98,33.25,-0.03,0.00,322.6,220.0,111.1,222.2,1,19.4,0.400,0.052,0.0000,50.1
1.552,32.91,-0.03,-9.98,33.27,-0.03,0.00,322.6,220.3,111.1,222.2,1,20.1,0.393,0.051,0.0000,50.1
1.602,32.96,-0.03,-9.98,33.28,-0.03,0.00,322.4,221.9,111.1,222.2,1,17.8,0.362,0.048,0.0000,50.1
1.652,32.96,-0.03,-9.98,33.29,-0.03,0.00,322.4,222.0,111.1,222.2,1,18.5,0.360,0.047,0.0000,50.1
1.702,33.01,-0.03,-9.98,33.30,-0.03,0.00,322.2,223.4,111.1,222.2,1,16.4,0.332,0.044,0.0000,50.1
1.753,33.01,-0.03,-9.98,33.32,-0.03,0.00,322.2,223.4,111.1,222.2,1,17.1,0.331,0.044,0.0000,50.1
1.803,33.06,-0.03,-9.98,33.33,-0.03,0.00,322.0,224.7,111.1,222.2,1,15.1,0.305,0.041,0.0000,50.1
1.853,33.06,-0.03,-9.98,33.34,-0.03,0.00,322.0,224.8,111.1,222.2,1,15.8,0.305,0.041,0.0000,50.1
1.903,33.10,-0.03,-9.98,33.35,-0.03,0.00,321.9,225.9,111.1,222.2,1,13.9,0.281,0.037,0.0000,50.1
1.953,33.10,-0.03,-9.98,33.37,-0.03,0.00,321.9,225.9,111.1,222.2,1,14.6,0.282,0.037,0.0000,50.1
2.003,33.10,-0.03,-9.98,33.38,-0.03,0.00,321.9,225.4,111.1,222.2,1,15.3,0.292,0.039,0.0000,50.1
2.053,33.15,-0.03,-9.98,33.39,-0.03,0.00,321.8,226.3,111.1,222.2,1,13.6,0.274,0.036,0.0000,50.1
2.103,33.19,-0.03,-9.98,33.40,-0.03,0.00,321.6,227.7,111.1,222.2,1,12.0,0.247,0.033,0.0000,50.1
2.153,33.19,-0.03,-9.98,33.42,-0.03,0.00,321.6,227.7,111.1,222.2,1,12.7,0.246,0.032,0.0000,50.1
2.203,33.23,-0.03,-9.98,33.43,-0.03,0.00,321.5,228.6,111.1,222.2,1,11.3,0.228,0.030,0.0000,50.1
2.253,33.23,-0.03,-9.98,33.44,-0.03,0.00,321.5,228.5,111.1,222.2,1,12.0,0.230,0.030,0.0000,50.1
2.303,33.26,-0.03,-9.98,33.45,-0.03,0.00,321.4,229.3,111.1,222.2,1,10.7,0.215,0.028,0.0000,50.1
2.353,33.26,-0.03,-9.98,33.47,-0.03,0.00,321.4,229.1,111.1,222.2,1,11.4,0.218,0.028,0.0000,50.1
2.403,33.30,-0.03,-9.98,33.48,-0.03,0.00,321.3,229.7,111.1,222.2,1,10.3,0.205,0.026,0.0000,50.1
2.454,33.30,-0.03,-9.98,33.49,-0.03,0.00,321.3,229.5,111.1,222.2,1,11.0,0.210,0.027,0.0000,50.1
2.504,33.33,-0.03,-9.98,33.50,-0.03,0.00,321.3,230.1,111.1,222.2,1,9.9,0.198,0.025,0.0000,50.1
2.554,33.33,-0.03,-9.98,33.52,-0.03,0.00,321.3,229.8,111.1,222.2,1,10.6,0.203,0.026,0.0000,50.1
2.604,33.36,-0.03,-9.98,33.53,-0.03,0.00,321.2,230.3,111.1,222.2,1,9.7,0.194,0.024,0.0000,50.1
2.654,33.36,-0.03,-9.98,33.54,-0.03,0.00,321.2,230.0,111.1,222.2,1,10.4,0.199,0.025,0.0000,50.1
2.704,33.38,-0.03,-9.98,33.55,-0.03,0.00,321.2,230.5,111.1,222.2,1,9.6,0.191,0.023,0.0000,50.1
2.754,33.38,-0.03,-9.98,33.57,-0.03,0.00,321.2,230.1,111.1,222.2,1,10.3,0.197,0.024,0.0000,50.1
2.804,33.41,-0.03,-9.98,33.58,-0.03,0.00,321.2,230.5,111.1,222.2,1,9.5,0.190,0.023,0.0000,50.1
2.854,33.41,-0.03,-9.98,33.59,-0.03,0.00,321.2,230.2,111.1,222.2,1,10.2,0.196,0.024,0.0000,50.1
2.904,33.43,-0.03,-9.98,33.60,-0.03,0.00,321.1,230.5,111.1,222.2,1,9.5,0.190,0.023,0.0000,50.1
2.954,33.43,-0.03,-9.98,33.62,-0.03,0.00,321.2,230.2,111.1,222.2,1,10.2,0.196,0.024,0.0000,50.1
3.004,33.46,-0.03,-9.98,33.63,-0.03,0.00,321.1,230.5,111.1,222.2,1,9.5,0.191,0.023,0.0000,50.1
3.054,33.46,-0.03,-9.98,33.64,-0.03,0.00,321.2,230.1,111.1,222.2,1,10.2,0.198,0.024,0.0000,50.1
3.104,33.48,-0.03,-9.98,33.65,-0.03,0.00,321.2,230.4,111.1,222.2,1,9.6,0.192,0.023,0.0000,50.1
3.154,33.48,-0.03,-9.98,33.67,-0.03,0.00,321.2,230.0,111.1,222.2,1,10.3,0.199,0.024,0.0000,50.1
3.205,33.51,-0.03,-9.98,33.68,-0.03,0.00,321.2,230.3,111.1,222.2,1,9.7,0.195,0.023,0.0000,50.1
3.255,33.51,-0.03,-9.98,33.69,-0.03,0.00,321.2,229.9,111.1,222.2,1,10.4,0.202,0.024,0.0000,50.1
3.305,33.53,-0.03,-9.98,33.71,-0.03,0.00,321.2,230.1,111.1,222.2,1,9.8,0.197,0.024,0.0000,50.1
3.355,33.53,-0.03,-9.98,33.72,-0.03,0.00,321.2,229.8,111.1,222.2,1,10.5,0.205,0.025,0.0000,50.1
3.405,33.55,-0.03,-9.98,33.73,-0.03,0.00,321.2,230.0,111.1,222.2,1,10.0,0.200,0.024,0.0000,50.1
3.455,33.55,-0.03,-9.98,33.74,-0.03,0.00,321.3,229.6,111.1,222.2,1,10.7,0.208,0.025,0.0000,50.3
3.505,33.57,-0.03,-9.98,33.76,-0.03,0.00,321.2,229.8,111.1,222.2,1,10.1,0.203,0.025,0.0000,50.1
3.555,33.57,-0.03,-9.98,33.77,-0.03,0.00,321.3,229.5,111.1,222.2,1,10.8,0.211,0.026,0.0000,50.1
3.605,33.59,-0.03,-9.98,33.78,-0.03,0.00,321.3,229.7,111.1,222.2,1,10.3,0.207,0.025,0.0000,50.1
3.655,33.59,-0.03,-9.98,33.79,-0.03,0.00,321.3,229.3,111.1,222.2,1,11.0,0.214,0.026,0.0000,50.1
3.706,33.62,-0.03,-9.98,33.81,-0.03,0.00,321.3,229.5,111.1,222.2,1,10.5,0.210,0.026,0.0000,50.1
3.756,33.62,-0.03,-9.98,33.82,-0.03,0.00,321.3,229.1,111.1,222.2,1,11.2,0.218,0.027,0.0000,50.1
3.806,33.64,-0.03,-9.98,33.83,-0.03,0.00,321.3,229.3,111.1,222.2,1,10.6,0.214,0.026,0.0000,50.1
3.856,33.64,-0.03,-9.98,33.84,-0.03,0.00,321.4,228.9,111.1,222.2,1,11.3,0.221,0.027,0.0000,50.1
3.906,33.66,-0.03,-9.98,33.86,-0.03,0.00,321.3,229.1,111.1,222.2,1,10.8,0.217,0.027,0.0000,50.1
3.956,33.66,-0.03,-9.98,33.87,-0.03,0.00,321.4,228.8,111.1,222.2,1,11.5,0.225,0.028,0.0000,50.1
4.006,33.68,-0.03,-9.98,33.88,-0.03,0.00,321.4,229.0,111.1,222.2,1,11.0,0.220,0.027,0.0000,50.1
4.056,33.68,-0.03,-9.98,33.89,-0.03,0.00,321.4,228.6,111.1,222.2,1,11.7,0.228,0.028,0.0000,50.1
4.106,33.71,-0.03,-9.98,33.91,-0.03,0.00,321.4,228.8,111.1,222.2,1,11.1,0.223,0.028,0.0000,50.1
4.156,33.71,-0.03,-9.98,33.92,-0.03,0.00,321.4,228.5,111.1,222.2,1,11.8,0.231,0.029,0.0000,50.1
4.206,33.73,-0.03,-9.98,33.93,-0.03,0.00,321.4,228.7,111.1,222.2,1,11.2,0.226,0.028,0.0000,50.1
4.256,33.73,-0.03,-9.98,33.94,-0.03,0.00,321.5,228.3,111.1,222.2,1,11.9,0.233,0.029,0.0000,50.1
4.306,33.75,-0.03,-9.98,33.96,-0.03,0.00,321.4,228.6,111.1,222.2,1,11.4,0.229,0.029,0.0000,50.1
4.356,33.75,-0.03,-9.98,33.97,-0.03,0.00,321.5,228.2,111.1,222.2,1,12.1,0.236,0.029,0.0000,50.1
4.406,33.77,-0.03,-9.98,33.98,-0.03,0.00,321.4,228.4,111.1,222.2,1,11.5,0.231,0.029,0.0000,50.1
4.456,33.77,-0.03,-9.98,33.99,-0.03,0.00,321.5,228.1,111.1,222.2,1,12.2,0.238,0.030,0.0000,50.1
4.507,33.80,-0.03,-9.98,34.01,-0.03,0.00,321.5,228.3,111.1,222.2,1,11.6,0.234,0.029,0.0000,50.1
4.557,33.80,-0.03,-9.98,34.02,-0.03,0.00,321.5,228.0,111.1,222.2,1,12.3,0.241,0.030,0.0000,50.1
4.607,33.82,-0.03,-9.98,34.03,-0.03,0.00,321.5,228.2,111.1,222.2,1,11.7,0.236,0.029,0.0000,50.1
4.657,33.82,-0.03,-9.98,34.04,-0.03,0.00,321.5,227.8,111.1,222.2,1,12.4,0.243,0.030,0.0000,50.1
4.707,33.84,-0.03,-9.98,34.06,-0.03,0.00,321.5,228.1,111.1,222.2,1,11.8,0.238,0.030,0.0000,50.1
4.757,33.84,-0.03,-9.98,34.07,-0.03,0.00,321.5,227.8,111.1,222.2,1,12.5,0.245,0.031,0.0000,50.1
4.807,33.87,-0.03,-9.98,34.08,-0.03,0.00,321.5,228.0,111.1,222.2,1,11.9,0.239,0.030,0.0000,50.1
4.857,33.87,-0.03,-9.98,34.09,-0.03,0.00,321.5,227.7,111.1,222.2,1,12.6,0.247,0.031,0.0000,50.1
4.907,33.89,-0.03,-9.98,34.11,-0.03,0.00,321.5,227.9,111.1,222.2,1,12.0,0.241,0.030,0.0000,50.1
4.957,33.89,-0.03,-9.98,34.12,-0.03,0.00,321.6,227.6,111.1,222.2,1,12.7,0.248,0.031,0.0000,50.1
5.007,33.91,-0.03,-9.98,34.13,-0.03,0.00,321.5,227.9,111.1,222.2,1,12.1,0.243,0.030,0.0000,50.1
5.057,33.91,-0.03,-9.98,34.14,-0.03,0.00,321.6,227.5,111.1,222.2,1,12.7,0.250,0.031,0.0000,50.1
5.107,33.94,-0.03,-9.98,34.16,-0.03,0.00,321.5,227.8,111.1,222.2,1,12.1,0.244,0.031,0.0000,50.1
