build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"57fe1f0","1","ARMv8 Processor rev 1 (v8l)","Orin","CUDA","/home/jfdg/models/Phi-3.5-mini-instruct-Q4_K_M.gguf","phi3 3B Q4_K - Medium","2392493952","3821079648","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-06-14T11:00:58Z","1187160347","6474727","431.291439","2.335153"
"57fe1f0","1","ARMv8 Processor rev 1 (v8l)","Orin","CUDA","/home/jfdg/models/Phi-3.5-mini-instruct-Q4_K_M.gguf","phi3 3B Q4_K - Medium","2392493952","3821079648","2048","512","6","0x0","0","50","f16","f16","99","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-06-14T11:01:05Z","9735603688","3289498","13.147619","0.004442"
