t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,32.34,-0.04,-9.98,32.84,-0.04,0.00,323.5,212.4,111.1,222.2,1,27.8,0.551,0.070,0.0000,0.0
0.050,32.34,-0.04,-9.98,32.85,-0.04,0.00,323.6,211.8,111.1,222.2,1,28.5,0.563,0.071,0.0000,50.1
0.100,32.34,-0.04,-9.98,32.86,-0.04,0.00,323.6,211.2,111.1,222.2,1,29.2,0.576,0.073,0.0000,50.1
0.150,32.34,-0.04,-9.98,32.88,-0.04,0.00,323.7,210.5,111.1,222.2,1,29.9,0.590,0.074,0.0000,50.1
0.200,32.34,-0.04,-9.98,32.89,-0.04,0.00,323.8,209.8,111.1,222.2,1,30.6,0.605,0.076,0.0000,50.1
0.250,32.34,-0.04,-9.98,32.90,-0.04,0.00,323.9,209.1,111.1,222.2,1,31.2,0.618,0.078,0.0000,50.1
0.300,32.34,-0.04,-9.98,32.91,-0.04,0.00,324.0,208.4,111.1,222.2,1,31.9,0.631,0.080,0.0000,50.1
0.350,32.35,-0.04,-9.98,32.93,-0.04,0.00,324.0,208.0,111.1,222.2,1,32.2,0.640,0.081,0.0000,50.1
0.401,32.35,-0.04,-9.98,32.94,-0.04,0.00,324.1,207.4,111.1,222.2,1,32.9,0.652,0.083,0.0000,50.1
0.451,32.36,-0.04,-9.98,32.95,-0.04,0.00,324.1,207.3,111.1,222.2,1,32.7,0.654,0.083,0.0000,50.1
0.501,32.36,-0.04,-9.98,32.96,-0.04,0.00,324.2,206.8,111.1,222.2,1,33.4,0.663,0.084,0.0000,50.1
0.551,32.39,-0.04,-9.98,32.98,-0.04,0.00,324.2,207.1,111.1,222.2,1,32.8,0.658,0.083,0.0000,50.1
0.601,32.39,-0.04,-9.98,32.99,-0.04,0.00,324.2,206.7,111.1,222.2,1,33.5,0.665,0.084,0.0000,50.1
