t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.00,0.00,-10.00,3.00,0.00,0.00,320.0,92.3,110.9,184.6,1,147.7,2.954,0.000,0.0000,0.0
0.058,0.00,0.00,-10.00,3.12,0.00,0.00,320.0,89.5,110.9,178.9,1,150.5,3.000,0.000,0.0000,58.0
0.108,0.00,0.00,-10.00,3.22,0.00,0.00,320.0,86.8,110.9,173.6,1,153.2,3.000,0.000,0.0000,50.1
0.158,0.00,0.00,-10.00,3.32,0.00,0.00,320.0,83.9,110.9,167.8,1,156.1,3.000,0.000,0.0000,50.1
0.208,0.00,0.00,-10.00,3.42,0.00,0.00,320.0,81.0,110.9,162.0,1,159.0,3.000,0.000,0.0000,50.1
0.258,0.00,0.00,-10.00,3.52,0.00,0.00,320.0,78.2,110.9,156.3,1,161.8,3.000,0.000,0.0000,50.1
0.308,0.00,0.00,-10.00,3.62,0.00,0.00,320.0,75.3,110.9,150.7,1,164.7,3.000,0.000,0.0000,50.1
0.358,0.00,0.00,-10.00,3.72,0.00,0.00,320.0,72.5,110.9,145.1,1,167.5,3.000,0.000,0.0000,50.1
0.408,0.00,0.00,-10.00,3.82,0.00,0.00,320.0,69.7,110.9,139.5,1,170.3,3.000,0.000,0.0000,50.1
0.459,0.00,0.00,-10.00,3.92,0.00,0.00,320.0,66.9,110.9,133.9,1,173.1,3.000,0.000,0.0000,50.1
0.509,0.00,0.00,-10.00,4.02,0.00,0.00,320.0,64.2,110.9,128.3,1,175.8,3.000,0.000,0.0000,50.1
0.559,0.00,0.00,-10.00,4.12,0.00,0.00,320.0,61.4,110.9,122.7,1,178.6,3.000,0.000,0.0000,50.1
0.609,0.00,0.00,-10.00,4.22,0.00,0.00,320.0,58.6,110.9,117.2,1,181.4,3.000,0.000,0.0000,50.1
0.659,0.00,0.00,-10.00,4.32,0.00,0.00,320.0,55.8,110.9,111.6,1,184.2,3.000,0.000,0.0000,50.1
0.709,0.00,0.00,-10.00,4.42,0.00,0.00,320.0,53.0,110.9,106.0,1,187.0,3.000,0.000,0.0000,50.1
0.759,0.00,0.00,-10.00,4.52,0.00,0.00,320.0,50.2,110.9,100.5,1,189.8,3.000,0.000,0.0000,50.1
0.809,0.00,0.00,-10.00,4.62,0.00,0.00,320.0,47.5,110.9,94.9,1,192.5,3.000,0.000,0.0000,50.1
0.859,0.00,0.00,-10.00,4.72,0.00,0.00,320.0,44.7,110.9,89.4,1,195.3,3.000,0.000,0.0000,50.1
0.909,0.00,0.00,-10.00,4.82,0.00,0.00,320.0,41.9,110.9,83.8,1,198.1,3.000,0.000,0.0000,50.1
0.959,0.00,0.00,-10.00,4.92,0.00,0.00,320.0,39.1,110.9,78.3,1,200.9,3.000,0.000,0.0000,50.1
1.009,0.00,0.00,-10.00,5.02,0.00,0.00,320.0,36.4,110.9,72.7,1,203.6,3.000,0.000,0.0000,50.1
1.059,0.00,0.00,-10.00,5.12,0.00,0.00,320.0,33.6,110.9,67.1,1,206.4,3.000,0.000,0.0000,50.1
1.109,0.00,0.00,-10.00,5.22,0.00,0.00,320.0,30.8,110.9,61.6,1,209.2,3.000,0.000,0.0000,50.1
1.160,0.00,0.00,-10.00,5.32,0.00,0.00,320.0,28.0,110.9,56.0,1,212.0,3.000,0.000,0.0000,50.1
1.210,0.00,0.00,-10.00,5.42,0.00,0.00,320.0,25.2,110.9,50.5,1,214.8,3.000,0.000,0.0000,50.1
1.260,0.00,0.00,-10.00,5.52,0.00,0.00,320.0,22.5,110.9,44.9,1,217.5,3.000,0.000,0.0000,50.1
1.310,0.00,0.00,-10.00,5.62,0.00,0.00,320.0,19.7,110.9,39.4,1,220.3,3.000,0.000,0.0000,50.1
1.360,0.00,0.00,-10.00,5.72,0.00,0.00,320.0,16.9,110.9,33.8,1,223.1,3.000,0.000,0.0000,50.1
1.410,0.00,0.00,-10.00,5.82,0.00,0.00,320.0,14.1,110.9,28.3,1,225.9,3.000,0.000,0.0000,50.1
1.460,0.00,0.00,-10.00,5.92,0.00,0.00,320.0,11.4,110.9,22.7,1,228.6,3.000,0.000,0.0000,50.1
1.510,0.00,0.00,-10.00,6.02,0.00,0.00,320.0,8.6,110.9,17.2,1,231.4,3.000,0.000,0.0000,50.1
1.560,0.00,0.00,-10.00,6.12,0.00,0.00,320.0,5.8,110.9,11.6,1,234.2,3.000,0.000,0.0000,50.1
1.610,0.00,0.00,-10.00,6.22,0.00,0.00,320.0,3.0,110.9,6.1,1,237.0,3.000,0.000,0.0000,50.1
1.660,0.00,0.00,-10.00,6.32,0.00,0.00,320.0,0.3,110.9,1.0,1,239.7,3.000,0.000,0.0000,50.1
1.710,0.00,0.00,-10.00,6.42,0.00,0.00,320.0,-2.5,110.9,1.0,1,242.5,3.000,0.000,0.0000,50.1
1.760,0.00,0.00,-10.00,6.52,0.00,0.00,320.0,-5.3,110.9,1.0,1,245.3,3.000,0.000,0.0000,50.1
1.810,0.00,0.00,-10.00,6.62,0.00,0.00,320.0,-8.1,110.9,1.0,1,248.1,3.000,0.000,0.0000,50.1
1.861,0.00,0.00,-10.00,6.72,0.00,0.00,320.0,-10.8,110.9,1.0,1,250.8,3.000,0.000,0.0000,50.1
1.911,0.00,0.00,-10.00,6.82,0.00,0.00,320.0,-13.6,110.9,1.0,1,253.6,3.000,0.000,0.0000,50.1
1.961,0.00,0.00,-10.00,6.92,0.00,0.00,320.0,-16.4,110.9,1.0,1,256.4,3.000,0.000,0.0000,50.1
2.011,0.00,0.00,-10.00,7.02,0.00,0.00,320.0,-19.2,110.9,1.0,1,259.2,3.000,0.000,0.0000,50.1
2.061,0.00,0.00,-10.00,7.12,0.00,0.00,320.0,-21.9,110.9,1.0,1,261.9,3.000,0.000,0.0000,50.1
2.111,0.00,0.00,-10.00,7.22,0.00,0.00,320.0,-24.7,110.9,1.0,1,264.7,3.000,0.000,0.0000,50.1
2.161,0.00,0.00,-10.00,7.32,0.00,0.00,320.0,-27.5,110.9,1.0,1,267.5,3.000,0.000,0.0000,50.1
2.211,0.00,0.00,-10.00,7.42,0.00,0.00,320.0,-30.3,110.9,1.0,1,270.3,3.000,0.000,0.0000,50.1
2.261,0.00,0.00,-10.00,7.52,0.00,0.00,320.0,-33.0,110.9,1.0,1,273.0,3.000,0.000,0.0000,50.1
2.311,0.00,0.00,-10.00,7.62,0.00,0.00,320.0,-35.8,110.9,1.0,1,275.8,3.000,0.000,0.0000,50.1
2.361,0.00,0.00,-10.00,7.72,0.00,0.00,320.0,-38.6,110.9,1.0,1,278.6,3.000,0.000,0.0000,50.1
2.411,0.00,0.00,-10.00,7.82,0.00,0.00,320.0,-41.4,110.9,1.0,1,281.4,3.000,0.000,0.0000,50.1
2.461,0.00,0.00,-10.00,7.92,0.00,0.00,320.0,-44.1,110.9,1.0,1,284.1,3.000,0.000,0.0000,50.1
2.511,0.00,0.00,-10.00,8.02,0.00,0.00,320.0,-46.9,110.9,1.0,1,286.9,3.000,0.000,0.0000,50.1
2.561,0.00,0.00,-10.00,8.12,0.00,0.00,320.0,-49.7,110.9,1.0,1,289.7,3.000,0.000,0.0000,50.1
2.612,0.00,0.00,-10.00,8.22,0.00,0.00,320.0,-52.5,110.9,1.0,1,292.5,3.000,0.000,0.0000,50.1
2.662,0.00,0.00,-10.00,8.32,0.00,0.00,320.0,-55.2,110.9,1.0,1,295.2,3.000,0.000,0.0000,50.1
2.712,0.00,0.00,-10.00,8.42,0.00,0.00,320.0,-58.0,110.9,1.0,1,298.0,3.000,0.000,0.0000,50.1
2.762,0.00,0.00,-10.00,8.52,0.00,0.00,320.0,-60.8,110.9,1.0,1,300.8,3.000,0.000,0.0000,50.1
2.812,0.00,0.00,-10.00,8.62,0.00,0.00,320.0,-63.6,110.9,1.0,1,303.6,3.000,0.000,0.0000,50.1
2.862,0.00,0.00,-10.00,8.72,0.00,0.00,320.0,-66.3,110.9,1.0,1,306.3,3.000,0.000,0.0000,50.1
2.912,0.00,0.00,-10.00,8.82,0.00,0.00,320.0,-69.1,110.9,1.0,1,309.1,3.000,0.000,0.0000,50.1
2.962,0.00,0.00,-10.00,8.92,0.00,0.00,320.0,-71.9,110.9,1.0,1,311.9,3.000,0.000,0.0000,50.1
3.012,0.00,0.00,-10.00,9.02,0.00,0.00,320.0,-74.7,110.9,1.0,1,314.7,3.000,0.000,0.0000,50.1
3.062,0.00,0.00,-10.00,9.12,0.00,0.00,320.0,-77.4,110.9,1.0,1,317.4,3.000,0.000,0.0000,50.1
3.112,0.00,0.00,-10.00,9.22,0.00,0.00,320.0,-80.2,110.9,1.0,1,320.2,3.000,0.000,0.0000,50.1
3.162,0.00,0.00,-10.00,9.32,0.00,0.00,320.0,-83.0,110.9,1.0,1,323.0,3.000,0.000,0.0000,50.1
3.212,0.00,0.00,-10.00,9.42,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.262,0.00,0.00,-10.00,9.52,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.313,0.00,0.00,-10.00,9.63,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.363,0.00,0.00,-10.00,9.73,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.413,0.00,0.00,-10.00,9.83,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.463,0.00,0.00,-10.00,9.93,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
