t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
2.954,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.004,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.054,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.104,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.154,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.204,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.254,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.305,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.355,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.405,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.455,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.505,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.555,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.605,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.655,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.705,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.755,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.805,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.855,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.905,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.955,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.005,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.055,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.105,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.156,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.206,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.256,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.306,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.356,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.406,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.456,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.506,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.556,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.606,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.656,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.706,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.756,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.806,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.856,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.906,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.957,0.00,0.00,-10.00,20.00,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
