t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,16.19,-0.01,-9.98,16.69,-0.02,0.00,323.1,212.9,111.1,222.2,1,27.3,0.542,0.062,0.0000,0.0
0.050,16.19,-0.01,-9.98,16.70,-0.02,0.00,323.2,212.3,111.1,222.2,1,28.0,0.554,0.064,0.0000,50.1
0.100,16.20,-0.01,-9.98,16.71,-0.02,0.00,323.3,211.7,111.1,222.2,1,28.6,0.567,0.065,0.0000,50.1
0.150,16.20,-0.01,-9.98,16.72,-0.02,0.00,323.4,211.0,111.1,222.2,1,29.3,0.580,0.067,0.0000,50.1
0.200,16.20,-0.01,-9.98,16.74,-0.02,0.00,323.5,210.3,111.1,222.2,1,30.0,0.594,0.069,0.0000,50.1
0.250,16.20,-0.02,-9.98,16.75,-0.02,0.00,323.5,209.8,111.1,222.2,1,30.5,0.605,0.071,0.0000,50.1
0.300,16.20,-0.02,-9.98,16.76,-0.02,0.00,323.6,209.1,111.1,222.2,1,31.2,0.618,0.073,0.0000,50.1
0.350,16.20,-0.02,-9.98,16.77,-0.02,0.00,323.7,208.4,111.1,222.2,1,31.9,0.632,0.074,0.0000,50.1
0.401,16.21,-0.02,-9.98,16.79,-0.02,0.00,323.8,208.1,111.1,222.2,1,32.0,0.638,0.076,0.0000,50.1
0.451,16.21,-0.02,-9.98,16.80,-0.02,0.00,323.9,207.5,111.1,222.2,1,32.7,0.649,0.077,0.0000,50.1
0.501,16.23,-0.02,-9.98,16.81,-0.02,0.00,323.9,207.6,111.1,222.2,1,32.4,0.649,0.077,0.0000,50.1
0.551,16.23,-0.02,-9.98,16.82,-0.02,0.00,323.9,207.1,111.1,222.2,1,33.1,0.657,0.079,0.0000,50.1
0.601,16.26,-0.02,-9.98,16.84,-0.02,0.00,323.9,207.5,111.1,222.2,1,32.3,0.649,0.078,0.0000,50.1
0.651,16.26,-0.02,-9.98,16.85,-0.02,0.00,324.0,207.2,111.1,222.2,1,33.0,0.655,0.079,0.0000,50.1
