t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd
0.0,ACQUIRE,19.2,-0.01,-9.48,19.7,-0.01,1,0,,,,0.0,0.0
0.05,ACQUIRE,19.2,-0.01,-9.48,19.72,-0.01,1,0,,,,0.0,0.0
0.1,ACQUIRE,19.2,-0.01,-9.48,19.75,-0.01,1,0,,,,0.0,0.0
0.15,ACQUIRE,19.2,-0.01,-9.48,19.77,-0.01,1,0,,,,0.0,0.0
0.2,ACQUIRE,19.2,-0.01,-9.48,19.8,-0.01,1,0,,,,0.0,0.0
0.25,ACQUIRE,19.2,-0.01,-9.48,19.82,-0.01,1,0,,,,0.0,0.0
0.3,ACQUIRE,19.2,-0.01,-9.48,19.85,-0.01,1,0,,,,0.0,0.0
0.35,ACQUIRE,19.2,-0.01,-9.48,19.87,-0.01,1,0,,,,0.0,0.0
0.4,ACQUIRE,19.2,-0.01,-9.48,19.9,-0.01,1,0,,,,0.0,0.0
0.45,ACQUIRE,19.2,-0.01,-9.48,19.92,-0.01,1,0,,,,0.0,0.0
0.5,ACQUIRE,19.2,-0.01,-9.48,19.95,-0.01,1,0,,,,0.0,0.0
0.55,ACQUIRE,19.2,-0.01,-9.48,19.97,-0.01,1,0,,,,0.0,0.0
0.6,ACQUIRE,19.2,-0.01,-9.48,20.0,-0.01,1,0,,,,0.0,0.0
0.65,ACQUIRE,19.2,-0.01,-9.48,20.02,-0.01,1,0,,,,0.0,0.0
0.7,ACQUIRE,19.2,-0.01,-9.48,20.05,-0.01,1,0,,,,0.0,0.0
0.75,ACQUIRE,19.2,-0.01,-9.48,20.08,-0.01,1,0,,,,0.0,0.0
0.8,ACQUIRE,19.2,-0.01,-9.48,20.1,-0.01,1,0,,,,0.0,0.0
0.85,ACQUIRE,19.2,-0.01,-9.48,20.13,-0.01,1,0,,,,0.0,0.0
0.9,ACQUIRE,19.2,-0.01,-9.49,20.15,-0.01,1,0,,,,0.0,0.0
0.95,ACQUIRE,19.2,-0.01,-9.49,20.18,-0.01,1,0,,,,0.0,0.0
1.0,ACQUIRE,19.2,-0.01,-9.49,20.2,-0.01,1,0,,,,0.0,0.0
1.05,ACQUIRE,19.2,-0.01,-9.49,20.23,-0.01,1,0,,,,0.0,0.0
1.1,ACQUIRE,19.2,-0.01,-9.49,20.25,-0.01,1,0,,,,0.0,0.0
1.15,ACQUIRE,19.2,-0.01,-9.49,20.28,-0.01,1,0,,,,0.0,0.0
1.2,ACQUIRE,19.2,-0.01,-9.49,20.3,-0.01,1,0,,,,0.0,0.0
1.25,ACQUIRE,19.2,-0.01,-9.49,20.33,-0.01,1,0,,,,0.0,0.0
1.3,ACQUIRE,19.2,-0.01,-9.49,20.35,-0.01,1,0,,,,0.0,0.0
1.35,ACQUIRE,19.2,-0.01,-9.49,20.38,-0.01,1,0,,,,0.0,0.0
1.4,ACQUIRE,19.2,-0.01,-9.49,20.4,-0.01,1,0,,,,0.0,0.0
1.45,ACQUIRE,19.2,-0.01,-9.49,20.43,-0.01,1,0,,,,0.0,0.0
1.5,ACQUIRE,19.2,-0.01,-9.49,20.45,-0.01,1,0,,,,0.0,0.0
1.55,ACQUIRE,19.2,-0.01,-9.49,20.48,-0.01,1,0,,,,0.0,0.0
1.6,ACQUIRE,19.2,-0.01,-9.49,20.5,-0.01,1,0,,,,0.0,0.0
