t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd
0.0,ACQUIRE,57.09,-0.01,-9.48,57.59,-0.01,1,0,,,,0.0,0.0
0.05,ACQUIRE,57.09,-0.01,-9.48,57.64,-0.01,1,0,,,,0.0,0.0
0.1,ACQUIRE,57.09,-0.01,-9.48,57.69,-0.01,1,0,,,,0.0,0.0
0.15,ACQUIRE,57.09,-0.01,-9.48,57.74,-0.01,1,0,,,,0.0,0.0
0.2,ACQUIRE,57.09,-0.01,-9.48,57.79,-0.01,1,0,,,,0.0,0.0
0.25,ACQUIRE,57.09,-0.01,-9.48,57.84,-0.01,1,0,,,,0.0,0.0
0.3,ACQUIRE,57.09,-0.01,-9.48,57.89,-0.01,1,0,,,,0.0,0.0
0.35,ACQUIRE,57.09,-0.01,-9.48,57.94,-0.01,1,0,,,,0.0,0.0
0.4,ACQUIRE,57.09,-0.01,-9.48,57.99,-0.01,1,0,,,,0.0,0.0
0.45,ACQUIRE,57.09,-0.01,-9.48,58.04,-0.01,1,0,,,,0.0,0.0
0.5,ACQUIRE,57.09,-0.01,-9.48,58.09,-0.01,1,0,,,,0.0,0.0
0.55,ACQUIRE,57.09,-0.01,-9.48,58.14,-0.01,1,0,,,,0.0,0.0
0.6,ACQUIRE,57.09,-0.01,-9.48,58.2,-0.01,1,0,,,,0.0,0.0
0.65,ACQUIRE,57.09,-0.01,-9.48,58.25,-0.01,1,0,,,,0.0,0.0
0.7,ACQUIRE,57.09,-0.01,-9.48,58.3,-0.01,1,0,,,,0.0,0.0
0.75,ACQUIRE,57.09,-0.01,-9.48,58.35,-0.01,1,0,,,,0.0,0.0
0.8,ACQUIRE,57.09,-0.01,-9.48,58.4,-0.01,1,0,,,,0.0,0.0
0.85,ACQUIRE,57.09,-0.01,-9.48,58.45,-0.01,1,0,,,,0.0,0.0
0.9,ACQUIRE,57.09,-0.01,-9.48,58.5,-0.01,1,0,,,,0.0,0.0
0.95,ACQUIRE,57.09,-0.01,-9.48,58.55,-0.01,1,0,,,,0.0,0.0
1.0,ACQUIRE,57.09,-0.01,-9.48,58.6,-0.01,1,0,,,,0.0,0.0
1.05,ACQUIRE,57.09,-0.01,-9.48,58.65,-0.01,1,0,,,,0.0,0.0
1.1,ACQUIRE,57.09,-0.01,-9.48,58.7,-0.01,1,0,,,,0.0,0.0
1.15,ACQUIRE,57.09,-0.01,-9.48,58.75,-0.01,1,0,,,,0.0,0.0
1.2,ACQUIRE,57.09,-0.01,-9.48,58.8,-0.01,1,0,,,,0.0,0.0
1.25,ACQUIRE,57.09,-0.01,-9.48,58.85,-0.01,1,0,,,,0.0,0.0
1.3,ACQUIRE,57.09,-0.01,-9.48,58.9,-0.01,1,0,,,,0.0,0.0
1.35,ACQUIRE,57.09,-0.01,-9.48,58.95,-0.01,1,0,,,,0.0,0.0
1.4,ACQUIRE,57.09,-0.01,-9.48,59.0,-0.01,1,0,,,,0.0,0.0
1.45,ACQUIRE,57.09,-0.01,-9.48,59.05,-0.01,1,0,,,,0.0,0.0
1.5,ACQUIRE,57.09,-0.01,-9.48,59.1,-0.01,1,0,,,,0.0,0.0
1.55,ACQUIRE,57.09,-0.01,-9.48,59.15,-0.01,1,0,,,,0.0,0.0
1.6,ACQUIRE,57.09,-0.01,-9.48,59.2,-0.01,1,0,,,,0.0,0.0
1.65,ACQUIRE,57.09,-0.01,-9.48,59.25,-0.01,1,0,,,,0.0,0.0
1.7,ACQUIRE,57.09,-0.01,-9.48,59.3,-0.01,1,0,,,,0.0,0.0
1.75,ACQUIRE,57.09,-0.01,-9.48,59.35,-0.01,1,0,,,,0.0,0.0
1.8,ACQUIRE,57.09,-0.01,-9.49,59.4,-0.01,1,0,,,,0.0,0.0
1.85,ACQUIRE,57.09,-0.01,-9.49,59.45,-0.01,1,0,,,,0.0,0.0
1.9,ACQUIRE,57.09,-0.01,-9.49,59.5,-0.01,1,0,,,,0.0,0.0
1.95,ACQUIRE,57.09,-0.01,-9.49,59.55,-0.01,1,0,,,,0.0,0.0
2.0,ACQUIRE,57.09,-0.01,-9.49,59.6,-0.01,1,0,,,,0.0,0.0
2.05,ACQUIRE,57.09,-0.01,-9.49,59.65,-0.01,1,0,,,,0.0,0.0
2.1,ACQUIRE,57.09,-0.01,-9.49,59.7,-0.01,1,0,,,,0.0,0.0
2.15,ACQUIRE,57.09,-0.01,-9.49,59.75,-0.01,1,0,,,,0.0,0.0
2.2,ACQUIRE,57.09,-0.01,-9.49,59.8,-0.01,1,0,,,,0.0,0.0
2.25,ACQUIRE,57.09,-0.01,-9.49,59.85,-0.01,1,0,,,,0.0,0.0
2.3,ACQUIRE,57.09,-0.01,-9.49,59.9,-0.01,1,0,,,,0.0,0.0
2.35,ACQUIRE,57.09,-0.01,-9.49,59.95,-0.01,1,0,,,,0.0,0.0
2.4,ACQUIRE,57.09,-0.01,-9.49,60.0,-0.01,1,0,,,,0.0,0.0
2.45,ACQUIRE,57.09,-0.01,-9.49,60.05,-0.01,1,0,,,,0.0,0.0
2.5,ACQUIRE,57.09,-0.01,-9.49,60.1,-0.01,1,0,,,,0.0,0.0
2.55,ACQUIRE,57.09,-0.01,-9.49,60.15,-0.01,1,0,,,,0.0,0.0
2.6,ACQUIRE,57.09,-0.01,-9.49,60.2,-0.01,1,0,,,,0.0,0.0
2.65,ACQUIRE,57.09,-0.01,-9.49,60.25,-0.01,1,0,,,,0.0,0.0
2.7,ACQUIRE,57.09,-0.01,-9.49,60.3,-0.01,1,0,,,,0.0,0.0
2.75,ACQUIRE,57.09,-0.01,-9.49,60.35,-0.01,1,0,,,,0.0,0.0
2.8,ACQUIRE,57.09,-0.01,-9.49,60.4,-0.01,1,0,,,,0.0,0.0
2.85,ACQUIRE,57.09,-0.01,-9.49,60.45,-0.01,1,0,,,,0.0,0.0
2.9,ACQUIRE,57.09,-0.01,-9.49,60.5,-0.01,1,0,,,,0.0,0.0
2.95,ACQUIRE,57.09,-0.01,-9.49,60.55,-0.01,1,0,,,,0.0,0.0
3.0,ACQUIRE,57.09,-0.01,-9.49,60.6,-0.01,1,0,,,,0.0,0.0
3.05,ACQUIRE,57.09,-0.01,-9.49,60.65,-0.01,1,0,,,,0.0,0.0
3.1,ACQUIRE,57.09,-0.01,-9.49,60.7,-0.01,1,0,,,,0.0,0.0
3.15,ACQUIRE,57.09,-0.01,-9.49,60.75,-0.01,1,0,,,,0.0,0.0
3.2,ACQUIRE,57.09,-0.01,-9.49,60.8,-0.01,1,0,,,,0.0,0.0
3.25,ACQUIRE,57.09,-0.01,-9.49,60.85,-0.01,1,0,,,,0.0,0.0
3.3,ACQUIRE,57.09,-0.01,-9.49,60.9,-0.01,1,0,,,,0.0,0.0
3.35,ACQUIRE,57.09,-0.01,-9.49,60.95,-0.01,1,0,,,,0.0,0.0
3.4,ACQUIRE,57.09,-0.01,-9.49,61.0,-0.01,1,0,,,,0.0,0.0
3.45,ACQUIRE,57.09,-0.01,-9.49,61.05,-0.01,1,0,,,,0.0,0.0
3.5,ACQUIRE,57.09,-0.01,-9.49,61.1,-0.01,1,0,,,,0.0,0.0
3.55,ACQUIRE,57.09,-0.01,-9.49,61.15,-0.01,1,0,,,,0.0,0.0
3.6,ACQUIRE,57.09,-0.01,-9.49,61.2,-0.01,1,0,,,,0.0,0.0
3.65,ACQUIRE,57.09,-0.01,-9.49,61.25,-0.01,1,0,,,,0.0,0.0
3.7,ACQUIRE,57.09,-0.01,-9.49,61.3,-0.01,1,0,,,,0.0,0.0
3.75,ACQUIRE,57.09,-0.01,-9.49,61.35,-0.01,1,0,,,,0.0,0.0
3.8,ACQUIRE,57.09,-0.01,-9.49,61.4,-0.01,1,0,,,,0.0,0.0
3.85,ACQUIRE,57.09,-0.01,-9.49,61.45,-0.01,1,0,,,,0.0,0.0
