t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms
0.0,ACQUIRE,0.01,-0.01,-8.81,0.51,-0.01,1,0,,,,0.0,0.0,4.5
0.05,ACQUIRE,0.01,-0.01,-8.92,0.59,-0.01,1,0,,,,0.0,0.0,1.4
0.1,ACQUIRE,0.01,-0.01,-8.92,0.66,-0.01,1,0,,,,0.0,0.0,0.8
0.15,ACQUIRE,0.01,-0.01,-9.03,0.74,-0.01,1,0,,,,0.0,0.0,1.5
0.2,ACQUIRE,0.01,-0.01,-9.03,0.81,-0.01,1,0,,,,0.0,0.0,0.8
0.25,ACQUIRE,0.01,-0.01,-9.13,0.89,-0.01,1,0,,,,0.0,0.0,1.5
0.3,ACQUIRE,0.01,-0.01,-9.13,0.97,-0.01,1,0,,,,0.0,0.0,0.6
0.35,ACQUIRE,0.01,-0.01,-9.22,1.04,-0.01,1,0,,,,0.0,0.0,1.4
0.4,ACQUIRE,0.01,-0.01,-9.22,1.12,-0.01,1,0,,,,0.0,0.0,0.7
0.45,ACQUIRE,0.01,-0.01,-9.3,1.19,-0.01,1,0,,,,0.0,0.0,1.4
0.5,ACQUIRE,0.01,-0.01,-9.3,1.27,-0.01,1,0,,,,0.0,0.0,0.7
0.55,ACQUIRE,0.01,-0.01,-9.38,1.34,-0.01,1,0,,,,0.0,0.0,1.2
0.6,ACQUIRE,0.01,-0.01,-9.38,1.42,-0.01,1,0,,,,0.0,0.0,0.8
0.65,ACQUIRE,0.01,-0.01,-9.44,1.49,-0.01,1,0,,,,0.0,0.0,1.4
0.7,ACQUIRE,0.01,-0.01,-9.44,1.57,-0.01,1,0,,,,0.0,0.0,0.8
0.75,ACQUIRE,0.01,-0.01,-9.49,1.64,-0.01,1,0,,,,0.0,0.0,1.5
0.8,ACQUIRE,0.01,-0.01,-9.49,1.72,-0.01,1,0,,,,0.0,0.0,0.8
0.85,ACQUIRE,0.01,-0.01,-9.53,1.79,-0.01,1,0,,,,0.0,0.0,1.5
0.9,ACQUIRE,0.01,-0.01,-9.53,1.87,-0.01,1,0,,,,0.0,0.0,0.7
0.95,ACQUIRE,0.01,-0.01,-9.56,1.94,-0.01,1,0,,,,0.0,0.0,1.5
1.0,ACQUIRE,0.01,-0.01,-9.56,2.02,-0.01,1,0,,,,0.0,0.0,0.9
1.05,ACQUIRE,0.01,-0.01,-9.58,2.09,-0.01,1,0,,,,0.0,0.0,1.4
1.1,ACQUIRE,0.01,-0.01,-9.58,2.17,-0.01,1,0,,,,0.0,0.0,0.8
1.15,ACQUIRE,0.01,-0.01,-9.59,2.24,-0.01,1,0,,,,0.0,0.0,1.5
1.2,ACQUIRE,0.01,-0.01,-9.59,2.32,-0.01,1,0,,,,0.0,0.0,0.8
1.25,ACQUIRE,0.01,-0.01,-9.59,2.39,-0.01,1,0,,,,0.0,0.0,1.3
1.3,ACQUIRE,0.01,-0.01,-9.59,2.47,-0.01,1,0,,,,0.0,0.0,0.8
1.35,ACQUIRE,0.01,-0.01,-9.59,2.54,-0.01,1,0,,,,0.0,0.0,1.4
1.4,ACQUIRE,0.01,-0.01,-9.59,2.62,-0.01,1,0,,,,0.0,0.0,0.9
1.45,ACQUIRE,0.01,-0.01,-9.58,2.69,-0.01,1,0,,,,0.0,0.0,1.6
1.5,ACQUIRE,0.01,-0.01,-9.58,2.77,-0.01,1,0,,,,0.0,0.0,0.8
1.55,ACQUIRE,0.01,-0.01,-9.58,2.84,-0.01,1,0,,,,0.0,0.0,1.3
1.6,ACQUIRE,0.01,-0.01,-9.58,2.92,-0.01,1,0,,,,0.0,0.0,0.6
1.65,ACQUIRE,0.01,-0.01,-9.57,2.99,-0.01,1,0,,,,0.0,0.0,1.6
1.7,ACQUIRE,0.01,-0.01,-9.57,3.07,-0.01,1,0,,,,0.0,0.0,0.8
1.75,ACQUIRE,0.01,-0.01,-9.56,3.14,-0.01,1,0,,,,0.0,0.0,1.5
1.8,ACQUIRE,0.01,-0.01,-9.56,3.22,-0.01,1,0,,,,0.0,0.0,0.8
1.85,ACQUIRE,0.01,-0.01,-9.55,3.29,-0.01,1,0,,,,0.0,0.0,1.2
1.9,ACQUIRE,0.01,-0.01,-9.55,3.37,-0.01,1,0,,,,0.0,0.0,0.8
1.95,ACQUIRE,0.01,-0.01,-9.55,3.44,-0.01,1,0,,,,0.0,0.0,1.4
2.0,ACQUIRE,0.01,-0.01,-9.55,3.52,-0.01,1,0,,,,0.0,0.0,0.9
2.05,ACQUIRE,0.01,-0.01,-9.54,3.59,-0.01,1,0,,,,0.0,0.0,1.4
2.1,ACQUIRE,0.01,-0.01,-9.54,3.67,-0.01,1,0,,,,0.0,0.0,0.6
2.15,ACQUIRE,0.01,-0.01,-9.54,3.74,-0.01,1,0,,,,0.0,0.0,1.2
2.2,ACQUIRE,0.01,-0.01,-9.54,3.82,-0.01,1,0,,,,0.0,0.0,0.8
2.25,ACQUIRE,0.01,-0.01,-9.54,3.89,-0.01,1,0,,,,0.0,0.0,1.6
2.3,ACQUIRE,0.01,-0.01,-9.54,3.97,-0.01,1,0,,,,0.0,0.0,0.8
2.35,ACQUIRE,0.01,-0.01,-9.54,4.04,-0.01,1,0,,,,0.0,0.0,1.5
2.4,ACQUIRE,0.01,-0.01,-9.54,4.12,-0.01,1,0,,,,0.0,0.0,0.8
