t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.01,-0.02,-9.97,0.51,-0.02,0.00,320.0,212.2,111.1,222.3,1,27.8,0.556,0.000,0.0000,0.0
0.050,0.01,-0.02,-9.97,0.53,-0.02,0.00,320.0,211.6,111.1,222.3,1,28.5,0.568,0.000,0.0000,50.1
0.100,0.01,-0.02,-9.97,0.54,-0.02,0.00,325.3,209.1,111.2,222.3,1,32.3,0.618,0.106,0.0000,50.1
0.150,0.01,-0.02,-9.97,0.55,-0.02,0.00,327.1,207.8,111.2,222.3,1,33.0,0.644,0.141,0.0000,50.1
0.200,0.02,-0.02,-9.98,0.56,-0.02,0.00,329.4,193.4,111.4,222.8,1,52.3,0.933,0.188,0.0000,50.1
0.250,0.02,-0.02,-9.98,0.58,-0.02,0.00,330.1,188.1,111.5,222.9,1,52.9,1.038,0.203,0.0000,50.1
0.300,0.02,-0.02,-9.97,0.59,-0.02,0.00,334.3,166.7,112.0,223.9,1,81.9,1.466,0.286,0.0000,50.1
0.350,0.02,-0.02,-9.97,0.60,-0.02,0.00,335.8,158.8,112.2,224.3,1,82.6,1.624,0.315,0.0000,50.1
0.401,0.04,-0.02,-9.97,0.61,-0.02,0.00,340.6,134.5,113.0,226.0,1,115.4,2.111,0.412,0.0000,50.1
0.451,0.04,-0.02,-9.97,0.63,-0.02,0.00,342.4,125.3,113.3,226.7,1,116.1,2.294,0.447,0.0000,50.1
0.501,0.07,-0.02,-9.97,0.64,-0.02,0.00,347.7,106.7,114.6,212.7,1,139.6,2.666,0.554,0.0000,50.1
0.551,0.07,-0.02,-9.97,0.65,-0.02,0.00,349.4,100.5,115.0,207.7,1,140.0,2.789,0.589,0.0000,50.1
0.601,0.12,-0.02,-9.97,0.66,-0.02,0.00,354.8,89.4,116.4,185.8,1,154.9,3.000,0.696,0.0000,50.1
0.651,0.12,-0.02,-9.97,0.68,-0.02,0.00,356.4,85.8,116.9,178.9,1,155.3,3.000,0.729,0.0000,50.1
0.701,0.19,-0.02,-9.97,0.69,-0.02,0.00,361.1,80.6,117.7,167.6,1,162.9,3.000,0.821,0.0000,50.1
0.751,0.19,-0.02,-9.97,0.70,-0.02,0.00,362.6,78.9,118.0,163.5,1,163.3,3.000,0.852,0.0000,50.1
0.801,0.29,-0.01,-9.97,0.71,-0.02,0.00,367.6,78.1,118.3,161.3,1,165.8,3.000,0.952,0.0000,50.1
0.851,0.29,-0.01,-9.97,0.73,-0.02,0.00,369.4,78.0,118.4,160.3,1,166.2,3.000,0.988,0.0000,50.1
