t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
0.000,0.00,0.00,-10.00,0.20,-0.01,-0.08,319.3,228.8,111.8,223.6,1,11.2,-0.099,-0.013,-0.0020,0.0
0.050,0.00,0.00,-10.00,0.20,-0.01,-0.08,319.3,228.8,111.8,223.6,1,11.2,-0.099,-0.013,-0.0020,50.1
0.100,0.00,0.00,-10.00,0.20,-0.01,-0.08,319.3,228.8,111.8,223.6,1,11.2,-0.099,-0.013,-0.0020,50.1
0.150,0.00,0.00,-10.00,0.20,-0.01,-0.08,319.3,228.8,111.8,223.6,1,11.2,-0.099,-0.013,-0.0020,50.1
0.200,0.00,0.00,-10.00,0.20,-0.01,-0.08,319.3,228.8,111.8,223.6,1,11.2,-0.099,-0.013,-0.0020,50.1
0.250,0.00,0.00,-10.00,0.20,-0.01,-0.08,319.3,228.8,111.8,223.6,1,11.2,-0.099,-0.013,-0.0020,50.1
0.300,0.00,0.00,-10.00,0.20,-0.01,-0.08,319.3,228.8,111.8,223.6,1,11.2,-0.099,-0.013,-0.0020,50.1
0.350,0.00,0.00,-10.00,0.20,-0.01,-0.08,319.3,228.8,111.8,223.6,1,11.2,-0.099,-0.013,-0.0020,50.1
0.400,0.00,0.00,-10.00,1.36,-0.06,-0.13,317.3,184.4,112.1,224.3,1,55.7,-0.115,-0.054,-0.0080,50.1
0.451,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.6,168.0,112.3,224.5,1,72.1,-0.121,-0.068,-0.0103,50.1
0.501,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,162.2,112.3,224.6,1,77.9,-0.123,-0.074,-0.0111,50.1
0.551,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.2,160.4,112.3,224.7,1,79.7,-0.124,-0.075,-0.0113,50.1
0.601,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.2,160.0,112.3,224.7,1,80.1,-0.124,-0.076,-0.0114,50.1
0.651,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.2,160.2,112.3,224.7,1,79.9,-0.124,-0.076,-0.0113,50.1
0.701,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.2,160.5,112.3,224.7,1,79.6,-0.124,-0.075,-0.0113,50.1
0.751,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.2,160.8,112.3,224.7,1,79.3,-0.124,-0.075,-0.0113,50.1
0.801,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,161.1,112.3,224.7,1,79.0,-0.124,-0.075,-0.0112,50.1
0.851,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,161.4,112.3,224.7,1,78.7,-0.124,-0.074,-0.0112,50.1
0.901,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,161.6,112.3,224.7,1,78.4,-0.123,-0.074,-0.0111,50.1
0.951,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,161.9,112.3,224.6,1,78.2,-0.123,-0.074,-0.0111,50.1
1.001,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,162.0,112.3,224.6,1,78.0,-0.123,-0.074,-0.0111,50.1
1.051,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,162.2,112.3,224.6,1,77.9,-0.123,-0.074,-0.0111,50.1
1.101,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,162.4,112.3,224.6,1,77.7,-0.123,-0.074,-0.0110,50.1
1.151,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,162.5,112.3,224.6,1,77.6,-0.123,-0.073,-0.0110,50.1
1.201,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,162.6,112.3,224.6,1,77.5,-0.123,-0.073,-0.0110,50.1
1.252,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,162.7,112.3,224.6,1,77.4,-0.123,-0.073,-0.0110,50.1
1.302,0.00,0.00,-10.00,1.36,-0.06,-0.13,316.3,162.8,112.3,224.6,1,77.3,-0.123,-0.073,-0.0110,50.1
