t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px
0.0,ACQUIRE,0.01,-0.01,-8.81,0.51,-0.01,1,0,,,,0.0,0.0,4.5,13.26,-0.01,,
0.05,ACQUIRE,0.01,-0.01,-8.92,0.53,-0.01,1,0,,,,0.0,0.0,1.4,13.26,-0.01,,
0.1,ACQUIRE,0.01,-0.01,-8.92,0.54,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
0.15,ACQUIRE,0.01,-0.01,-9.03,0.55,-0.01,1,0,,,,0.0,0.0,1.5,13.26,-0.01,,
0.2,ACQUIRE,0.01,-0.01,-9.03,0.56,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
0.25,ACQUIRE,0.01,-0.01,-9.13,0.58,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
0.3,ACQUIRE,0.01,-0.01,-9.13,0.59,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
0.35,ACQUIRE,0.01,-0.01,-9.22,0.6,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
0.4,ACQUIRE,0.01,-0.01,-9.22,0.61,-0.01,1,0,,,,0.0,0.0,1.0,13.26,-0.01,,
0.45,ACQUIRE,0.01,-0.01,-9.3,0.63,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
0.5,ACQUIRE,0.01,-0.01,-9.3,0.64,-0.01,1,0,,,,0.0,0.0,1.0,13.26,-0.01,,
0.55,ACQUIRE,0.01,-0.01,-9.37,0.65,-0.01,1,0,,,,0.0,0.0,1.4,13.26,-0.01,,
0.6,ACQUIRE,0.01,-0.01,-9.37,0.66,-0.01,1,0,,,,0.0,0.0,0.7,13.26,-0.01,,
0.65,ACQUIRE,0.01,-0.01,-9.44,0.68,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
0.7,ACQUIRE,0.01,-0.01,-9.44,0.69,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
0.75,ACQUIRE,0.01,-0.01,-9.49,0.7,-0.01,1,0,,,,0.0,0.0,1.4,13.26,-0.01,,
0.8,ACQUIRE,0.01,-0.01,-9.49,0.71,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
0.85,ACQUIRE,0.01,-0.01,-9.53,0.73,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
0.9,ACQUIRE,0.01,-0.01,-9.53,0.74,-0.01,1,0,,,,0.0,0.0,1.0,13.26,-0.01,,
0.95,ACQUIRE,0.01,-0.01,-9.56,0.75,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
1.0,ACQUIRE,0.01,-0.01,-9.56,0.76,-0.01,1,0,,,,0.0,0.0,1.0,13.26,-0.01,,
1.05,ACQUIRE,0.01,-0.01,-9.57,0.78,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
1.1,ACQUIRE,0.01,-0.01,-9.57,0.79,-0.01,1,0,,,,0.0,0.0,0.7,13.26,-0.01,,
1.15,ACQUIRE,0.01,-0.01,-9.58,0.8,-0.01,1,0,,,,0.0,0.0,1.4,13.26,-0.01,,
1.2,ACQUIRE,0.01,-0.01,-9.58,0.81,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
1.25,ACQUIRE,0.01,-0.01,-9.59,0.83,-0.01,1,0,,,,0.0,0.0,1.7,13.26,-0.01,,
1.3,ACQUIRE,0.01,-0.01,-9.59,0.84,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
1.35,ACQUIRE,0.01,-0.01,-9.58,0.85,-0.01,1,0,,,,0.0,0.0,1.4,13.26,-0.01,,
1.4,ACQUIRE,0.01,-0.01,-9.58,0.86,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
1.45,ACQUIRE,0.01,-0.01,-9.58,0.88,-0.01,1,0,,,,0.0,0.0,1.5,13.26,-0.01,,
1.5,ACQUIRE,0.01,-0.01,-9.58,0.89,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
1.55,ACQUIRE,0.01,-0.01,-9.57,0.9,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
1.6,ACQUIRE,0.01,-0.01,-9.57,0.91,-0.01,1,0,,,,0.0,0.0,0.8,13.26,-0.01,,
1.65,ACQUIRE,0.01,-0.01,-9.57,0.93,-0.01,1,0,,,,0.0,0.0,1.4,13.26,-0.01,,
1.7,ACQUIRE,0.01,-0.01,-9.57,0.94,-0.01,1,0,,,,0.0,0.0,0.9,13.26,-0.01,,
1.75,ACQUIRE,0.01,-0.01,-9.56,0.95,-0.01,1,0,,,,0.0,0.0,1.6,13.26,-0.01,,
