seq,tid,n_frames,n_labeled,mean_iou,iou_at_25,iou_at_50,id_consistency,pred_absent_frac,n_gaps,n_recovered,wall_s,fps
uav0000076_00720_v,22,259,259,0.7436984219095826,0.9266409266409267,0.9266409266409267,0.9490196078431372,0.0,0,0,18.67,13.87
uav0000076_00720_v,54,277,216,0.19917644535754603,0.33796296296296297,0.009259259259259259,1.0,0.0787037037037037,1,0,19.69,14.07
uav0000077_00720_v,46,300,300,0.8328617830887504,1.0,0.9966666666666667,1.0,0.0,0,0,21.76,13.79
uav0000077_00720_v,43,300,300,0.7467765724465075,0.96,0.9533333333333334,0.9765886287625418,0.0,0,0,21.54,13.93
uav0000079_00480_v,15,300,300,0.4813660510497618,0.9266666666666666,0.5066666666666667,1.0,0.0,0,0,22.1,13.57
uav0000079_00480_v,10,300,300,0.6474928485340609,0.9533333333333334,0.8266666666666667,1.0,0.0,0,0,21.91,13.69
uav0000084_00000_v,27,300,300,0.6518776221200259,0.85,0.82,0.9827586206896551,0.0,0,0,21.8,13.76
uav0000084_00000_v,59,300,257,0.6258002350104975,1.0,0.9377431906614786,1.0,0.0,1,1,21.56,13.91
uav0000086_00000_v,11,300,300,0.6762511720065404,0.9766666666666667,0.8166666666666667,0.97,0.0,0,0,21.89,13.7
uav0000086_00000_v,55,300,300,0.523038324880113,1.0,0.5733333333333334,1.0,0.0,0,0,21.62,13.88
uav0000088_00290_v,0,296,296,0.6356516269981214,1.0,0.875,0.9594594594594594,0.0,0,0,21.31,13.89
uav0000088_00290_v,92,296,242,0.3987866240558327,0.5454545454545454,0.5247933884297521,0.5454545454545454,0.0,1,0,21.08,14.04
uav0000099_02109_v,9,300,300,0.8409253556064362,1.0,1.0,1.0,0.0,0,0,21.91,13.69
uav0000099_02109_v,4,300,300,0.7270009900949954,1.0,0.9733333333333334,0.9466666666666667,0.0,0,0,21.67,13.84
uav0000117_02622_v,0,300,300,0.15287177345221076,0.2733333333333333,0.13333333333333333,0.22466960352422907,0.0,0,0,21.67,13.84
uav0000117_02622_v,21,156,140,0.623538572981568,1.0,0.9214285714285714,1.0,0.0,1,1,11.22,13.91
uav0000119_02301_v,0,179,179,0.6267151407737505,1.0,0.9553072625698324,1.0,0.0,0,0,12.84,13.94
uav0000119_02301_v,38,140,113,0.4741597953830723,0.9911504424778761,0.40707964601769914,1.0,0.008849557522123894,1,0,9.93,14.1
uav0000120_04775_v,274,300,300,0.10283360185080984,0.20333333333333334,0.06333333333333334,0.4338235294117647,0.43333333333333335,0,0,21.4,14.02
uav0000120_04775_v,136,300,254,0.18679727073825145,0.27165354330708663,0.1732283464566929,0.5,0.0,1,0,21.24,14.13
uav0000124_00944_v,0,300,300,0.7287617338070169,1.0,1.0,1.0,0.0,0,0,22.1,13.58
uav0000124_00944_v,41,300,258,0.0018499603585623477,0.003875968992248062,0.0,1.0,0.0,1,0,21.57,13.91
uav0000126_00001_v,8,300,300,0.39919948267723604,0.9566666666666667,0.16,1.0,0.0,0,0,22.45,13.36
uav0000126_00001_v,62,300,229,0.22373299669643962,0.4672489082969432,0.1703056768558952,1.0,0.4366812227074236,2,0,22.12,13.57
uav0000137_00458_v,13,233,233,0.8859856510774247,0.9785407725321889,0.9656652360515021,0.991304347826087,0.0,0,0,17.06,13.66
uav0000137_00458_v,107,233,215,0.012521436099366706,0.018604651162790697,0.013953488372093023,0.02717391304347826,0.12558139534883722,1,0,16.85,13.83
uav0000138_00000_v,1,213,213,0.8117241660949193,1.0,1.0,1.0,0.0,0,0,15.8,13.48
uav0000138_00000_v,24,213,203,0.4367129802621156,0.5517241379310345,0.5270935960591133,0.6387434554973822,0.0,1,0,15.55,13.7
uav0000140_01590_v,25,256,256,0.21652775739570368,0.359375,0.30078125,1.0,0.58203125,0,0,18.97,13.5
uav0000140_01590_v,61,207,196,0.10437587320480299,0.19387755102040816,0.12244897959183673,1.0,0.7653061224489796,1,0,15.37,13.47
uav0000143_02250_v,1,261,261,0.8861815039778925,1.0,0.9885057471264368,1.0,0.0,0,0,19.41,13.45
uav0000143_02250_v,93,261,252,0.5419642519711216,0.9365079365079365,0.6349206349206349,0.9880952380952381,0.0,1,1,19.18,13.61
uav0000145_00000_v,15,300,300,0.11807772132502928,0.21666666666666667,0.06666666666666667,0.21839080459770116,0.0,0,0,22.29,13.46
uav0000145_00000_v,17,300,300,0.14120199861008612,0.18,0.02,0.19798657718120805,0.0,0,0,22.28,13.46
uav0000150_02310_v,9,300,300,0.094595536639091,0.14333333333333334,0.11333333333333333,0.12333333333333334,0.0,0,0,22.48,13.35
uav0000150_02310_v,103,300,298,0.6501423245030045,1.0,0.9697986577181208,1.0,0.0,1,0,22.07,13.59
